date,price,mrkcap,volume
2015-10-27,1.47,0.0,728.0
2015-10-28,1.52,0.0,4283.0
2015-10-29,1.62,0.0,4211.0
2015-10-30,1.69,0.0,5655.0
2015-10-31,1.57,0.0,3770.0
2015-11-01,1.68,0.0,3332.0
2015-11-02,1.84,0.0,4418.0
2015-11-03,2.08,0.0,6808.0
2015-11-04,2.09,0.0,9166.0
2015-11-05,1.96,0.0,855.0
2015-11-06,1.83,0.0,73.0
2015-11-07,1.99,0.0,753.0
2015-11-08,1.92,0.0,1092.0
2015-11-09,1.94,0.0,4313.0
2015-11-10,1.74,0.0,2087.0
2015-11-11,1.65,0.0,6071.0
2015-11-12,1.62,0.0,2958.0
2015-11-13,1.61,0.0,820.0
2015-11-14,1.6,0.0,518.0
2015-11-15,1.56,0.0,60.0
2015-11-16,1.62,0.0,478.0
2015-11-17,1.64,0.0,700.0
2015-11-18,1.64,0.0,44.0
2015-11-19,1.59,0.0,67.0
2015-11-20,1.58,0.0,207.0
2015-11-21,1.6,0.0,84.0
2015-11-22,1.59,0.0,185.0
2015-11-23,1.53,0.0,298.0
2015-11-24,1.51,0.0,20.0
2015-11-25,1.59,0.0,83.0
2015-11-26,1.67,0.0,170.0
2015-11-27,1.72,0.0,165.0
2015-11-28,1.74,0.0,510.0
2015-11-29,1.78,0.0,371.0
2015-11-30,1.51,0.0,510.0
2015-12-01,1.57,0.0,445.0
2015-12-02,1.54,0.0,86.0
2015-12-03,1.56,0.0,187.0
2015-12-04,1.63,0.0,230.0
2015-12-05,1.84,0.0,612.0
2015-12-06,1.83,0.0,548.0
2015-12-07,1.66,0.0,36.0
2015-12-08,1.88,0.0,155.0
2015-12-09,1.67,0.0,129.0
2015-12-10,1.89,0.0,580.0
2015-12-11,2.17,0.0,208.0
2015-12-12,2.11,0.0,512.0
2015-12-13,2.17,0.0,2.0
2015-12-14,2.23,0.0,2.0
2015-12-15,2.29,0.0,259.0
2015-12-16,2.3,0.0,236.0
2015-12-17,2.19,0.0,113.0
2015-12-18,2.2,0.0,113.0
2015-12-19,2.39,0.0,1882.0
2015-12-20,2.06,0.0,514.0
2015-12-21,2.05,0.0,361.0
2015-12-22,1.99,0.0,372.0
2015-12-23,2.1,0.0,860.0
2015-12-24,2.23,0.0,441.0
2015-12-25,2.52,0.0,686.0
2015-12-26,2.37,0.0,148.0
2015-12-27,2.34,0.0,147.0
2015-12-28,2.35,0.0,281.0
2015-12-29,1.97,0.0,299.0
2015-12-30,2.09,0.0,216.0
2015-12-31,2.18,0.0,117.0
2016-01-01,2.17,0.0,1364.0
2016-01-02,2.21,0.0,149.0
2016-01-03,2.06,0.0,366.0
2016-01-04,2.38,0.0,449.0
2016-01-05,2.01,0.0,731.0
2016-01-06,2.03,0.0,390.0
2016-01-07,1.97,0.0,925.0
2016-01-08,2.4,0.0,288.0
2016-01-09,2.17,0.0,879.0
2016-01-10,2.29,0.0,244.0
2016-01-11,2.31,0.0,89.0
2016-01-12,2.31,0.0,337.0
2016-01-13,2.29,0.0,310.0
2016-01-14,2.29,0.0,46.0
2016-01-15,1.93,0.0,691.0
2016-01-16,2.05,0.0,700.0
2016-01-17,2.02,0.0,67.0
2016-01-18,2.06,0.0,460.0
2016-01-19,2.17,0.0,809.0
2016-01-20,2.48,0.0,1380.0
2016-01-21,2.42,0.0,302.0
2016-01-22,2.32,0.0,24.0
2016-01-24,2.26,0.0,93.0
2016-01-25,2.15,0.0,220.0
2016-01-26,2.35,0.0,1891.0
2016-01-27,2.84,0.0,4223.0
2016-01-28,2.66,0.0,1184.0
2016-01-29,2.58,0.0,2189.0
2016-01-30,2.38,0.0,1735.0
2016-01-31,2.14,0.0,479.0
2016-02-01,2.37,0.0,2033.0
2016-02-02,2.25,0.0,943.0
2016-02-03,2.48,0.0,2326.0
2016-02-04,2.49,0.0,920.0
2016-02-05,2.88,0.0,1048.0
2016-02-06,2.8,0.0,1050.0
2016-02-07,2.8,0.0,404.0
2016-02-08,2.78,0.0,2112.0
2016-02-09,2.81,0.0,781.0
2016-02-10,2.81,0.0,1552.0
2016-02-11,3.19,0.0,2122.0
2016-02-12,3.54,0.0,10572.0
2016-02-13,3.76,0.0,4840.0
2016-02-14,3.46,0.0,1873.0
2016-02-15,3.76,0.0,16200.0
2016-02-16,3.87,0.0,4135.0
2016-02-17,4.16,0.0,6218.0
2016-02-18,4.1,0.0,2746.0
2016-02-19,4.18,0.0,4840.0
2016-02-20,4.33,0.0,4382.0
2016-02-21,4.25,0.0,5238.0
2016-02-22,4.38,0.0,3574.0
2016-02-23,4.25,0.0,3159.0
2016-02-24,4.8,0.0,11470.0
2016-02-25,4.63,0.0,14119.0
2016-02-26,4.88,0.0,3908.0
2016-02-27,4.39,0.0,3924.0
2016-02-28,4.41,0.0,9.0
2016-02-29,5.17,0.0,5832.0
2016-03-01,5.18,0.0,13615.0
2016-03-02,7.21,0.0,30134.0
2016-03-03,8.01,0.0,57120.0
2016-03-04,7.89,0.0,20310.0
2016-03-05,7.21,0.0,28457.0
2016-03-06,8.19,0.0,18326.0
2016-03-07,8.49,0.0,19487.0
2016-03-08,8.28,0.0,25264.0
2016-03-09,8.17,0.0,22374.0
2016-03-10,9.16,0.0,43686.0
2016-03-11,9.3,0.0,29441.0
2016-03-12,10.29,0.0,65512.0
2016-03-13,10.17,0.0,5436.0
2016-03-14,10.31,0.0,20413.0
2016-03-15,12.92,0.0,48919.0
2016-03-16,15.03,0.0,127764.0
2016-03-17,12.66,0.0,31184.0
2016-03-18,12.53,0.0,8312.0
2016-03-19,14.37,0.0,1721.0
2016-03-20,12.79,0.0,3102.0
2016-03-21,11.6,0.0,47335.0
2016-03-22,13.51,0.0,46246.0
2016-03-23,12.12,0.0,14210.0
2016-03-24,11.63,0.0,17800.0
2016-03-25,11.51,0.0,36710.0
2016-03-26,10.65,0.0,60487.0
2016-03-27,11.1,0.0,29161.0
2016-03-28,11.4,0.0,56555.0
2016-03-29,9.39,0.0,15626.0
2016-03-30,10.74,0.0,2913.0
2016-03-31,9.96,0.0,11651.0
2016-04-01,9.5,0.0,16541.0
2016-04-02,9.51,0.0,16642.0
2016-04-03,9.45,0.0,25517.0
2016-04-04,9.27,0.0,35980.0
2016-04-05,9.48,0.0,31211.0
2016-04-06,9.39,0.0,66404.0
2016-04-07,9.09,0.0,78918.0
2016-04-08,8.41,0.0,17254.0
2016-04-09,8.06,0.0,6091.0
2016-04-10,7.67,0.0,9347.0
2016-04-11,7.87,0.0,19203.0
2016-04-12,6.84,0.0,13931.0
2016-04-13,7.14,0.0,2959.0
2016-04-14,6.92,0.0,4024.0
2016-04-15,7.91,0.0,1643.0
2016-04-16,7.19,0.0,11407.0
2016-04-17,6.84,0.0,10380.0
2016-04-18,8.14,0.0,8141.0
2016-04-19,8.16,0.0,20129.0
2016-04-20,7.95,0.0,5595.0
2016-04-21,8.28,0.0,4260.0
2016-04-22,7.21,0.0,5405.0
2016-04-23,7.52,0.0,6765.0
2016-04-24,7.48,0.0,7498.0
2016-04-25,7.38,0.0,11460.0
2016-04-26,6.92,0.0,4763.0
2016-04-27,5.02,0.0,4800.0
2016-04-28,6.94,0.0,5158.0
2016-04-29,5.07,0.0,5571.0
2016-04-30,5.24,0.0,3815.0
2016-05-01,6.45,0.0,8050.0
2016-05-02,7.03,0.0,6882.0
2016-05-03,5.81,0.0,5380.0
2016-05-04,6.49,0.0,8935.0
2016-05-05,6.94,0.0,4371.0
2016-05-06,5.74,0.0,4975.0
2016-05-07,6.62,0.0,8401.0
2016-05-08,5.96,0.0,6475.0
2016-05-09,6.37,0.0,3185.0
2016-05-10,7.17,0.0,7262.0
2016-05-11,5.93,0.0,6198.0
2016-05-12,6.68,0.0,4455.0
2016-05-13,6.6,0.0,3315.0
2016-05-14,6.59,0.0,3313.0
2016-08-22,9.68,0.0,4270.0
2016-08-23,10.15,0.0,1426.0
2016-08-24,10.62,0.0,4246.0
2016-08-25,10.63,0.0,1283.0
2016-08-26,12.57,0.0,1819.0
2016-08-27,12.36,0.0,403.0
2016-08-28,9.76,0.0,224.0
2016-08-29,11.48,0.0,1.0
2016-08-30,9.82,0.0,1123.0
2016-08-31,9.21,0.0,517.0
2016-09-01,9.16,0.0,263.0
2016-09-02,9.21,0.0,709.0
2016-09-03,6.58,0.0,802.0
2016-09-04,10.34,0.0,105.0
2016-09-05,10.31,0.0,933.0
2016-09-06,11.9,0.0,5135.0
2016-09-07,10.57,0.0,1849.0
2016-09-08,4.95,0.0,2026.0
2016-09-09,9.97,0.0,772.0
2016-09-10,9.98,0.0,220.0
2016-09-11,9.71,0.0,198.0
2016-09-12,11.67,0.0,6478.0
2016-09-13,11.33,0.0,893.0
2016-09-14,9.89,0.0,531.0
