date,price,mrkcap,volume
2017-04-27,23.72,0.0,445.0
2017-04-28,5.08,0.0,13852.0
2017-04-29,1.66,0.0,2314.0
2017-04-30,1.63,0.0,3375.0
2017-05-01,1.85,0.0,1314.0
2017-05-02,1.41,0.0,1269.0
2017-05-03,2.83,0.0,5577.0
2017-05-04,3.23,0.0,7061.0
2017-05-05,3.11,0.0,4880.0
2017-05-06,2.68,0.0,3224.0
2017-05-07,3.19,0.0,7502.0
2017-05-08,2.5,0.0,4653.0
2017-05-09,2.48,0.0,2019.0
2017-05-10,2.3,0.0,2465.0
2017-05-11,1.73,0.0,1594.0
2017-05-12,1.46,0.0,2393.0
2017-05-13,1.19,0.0,1547.0
2017-05-14,1.31,0.0,3104.0
2017-05-15,1.1,0.0,781.0
2017-05-16,1.06,0.0,540.0
2017-05-17,1.04,0.0,2799.0
2017-05-18,0.961171,0.0,1821.0
2017-05-19,1.16,0.0,1559.0
2017-05-20,1.02,0.0,2099.0
2017-05-21,0.912436,0.0,1235.0
2017-05-22,1.62,0.0,2406.0
2017-05-23,1.15,0.0,2144.0
2017-05-24,1.71,0.0,880.0
2017-05-25,1.18,0.0,1022.0
2017-05-26,1.65,0.0,6651.0
2017-05-27,1.27,0.0,1104.0
2017-05-28,1.37,0.0,16720.0
2017-05-29,1.2,0.0,22319.0
2017-05-30,1.09,0.0,15370.0
2017-05-31,1.03,0.0,29656.0
2017-06-01,1.04,0.0,24859.0
2017-06-02,1.07,0.0,18213.0
2017-06-03,1.35,0.0,10907.0
2017-06-04,1.26,0.0,6802.0
2017-06-05,1.36,0.0,6770.0
2017-06-06,1.58,0.0,4772.0
2017-06-07,1.42,0.0,8735.0
2017-06-08,1.81,0.0,11619.0
2017-06-09,1.54,0.0,3594.0
2017-06-10,1.65,0.0,2216.0
2017-06-11,1.5,0.0,2609.0
2017-06-12,1.3,0.0,4821.0
2017-06-13,1.21,0.0,3798.0
2017-06-14,1.4,0.0,8431.0
2017-06-15,1.08,0.0,8201.0
2017-06-16,1.11,0.0,8098.0
2017-06-17,1.11,0.0,8109.0
2017-06-18,1.1,0.0,7953.0
2017-06-19,1.1,0.0,5844.0
2017-06-20,1.01,0.0,10322.0
2017-06-21,1.07,132919.0,10794.0
2017-06-22,1.12,142502.0,11330.0
2017-06-23,1.49,148802.0,5201.0
2017-06-24,1.65,203533.0,3128.0
2017-06-25,1.27,227536.0,2248.0
2017-06-26,1.25,175422.0,3156.0
2017-06-27,1.23,163684.0,1686.0
2017-06-28,1.26,171219.0,2489.0
2017-06-29,2.49,173869.0,29264.0
2017-06-30,2.97,345445.0,15517.0
2017-07-01,1.81,411296.0,27295.0
2017-07-02,1.81,250051.0,3825.0
2017-07-03,1.57,249078.0,6451.0
2017-07-04,1.62,216665.0,2257.0
2017-07-05,2.78,223597.0,18961.0
2017-07-06,1.98,385611.0,7666.0
2017-07-07,2.81,274223.0,3679.0
2017-07-08,2.6,389731.0,7763.0
2017-07-09,3.19,360305.0,8538.0
2017-07-10,2.39,442191.0,20189.0
2017-07-11,2.55,330465.0,9725.0
2017-07-12,2.74,310031.0,20659.0
2017-07-13,2.04,313955.0,11356.0
2017-07-14,2.22,282308.0,10460.0
2017-07-15,1.55,306958.0,5695.0
2017-07-16,1.48,595364.0,7539.0
2017-07-17,1.86,558315.0,2935.0
2017-07-18,2.37,707330.0,6985.0
2017-07-19,2.06,899734.0,9224.0
2017-07-20,2.01,775940.0,12244.0
2017-07-21,1.87,766614.0,23287.0
2017-07-22,1.7,515649.0,12471.0
2017-07-23,1.65,475209.0,8113.0
2017-07-24,1.78,468105.0,11145.0
2017-07-25,1.57,510420.0,3546.0
2017-07-26,1.26,466458.0,12000.0
2017-07-27,1.52,378919.0,6957.0
2017-07-28,1.26,459194.0,2158.0
2017-07-29,1.47,379400.0,3105.0
2017-07-30,1.56,450173.0,7406.0
2017-07-31,1.46,463534.0,14927.0
2017-08-01,1.3,474971.0,3006.0
2017-08-02,1.48,423532.0,9454.0
2017-08-03,2.27,494885.0,32297.0
2017-08-04,2.39,763618.0,15628.0
2017-08-05,2.28,751259.0,76645.0
2017-08-06,2.21,798811.0,7733.0
2017-08-07,1.83,793905.0,21800.0
2017-08-08,1.95,689994.0,8947.0
2017-08-09,2.08,718370.0,18034.0
2017-08-10,2.17,774814.0,16254.0
2017-08-11,2.42,820661.0,19207.0
2017-08-12,2.42,947098.0,20721.0
2017-08-13,2.39,1021190.0,8336.0
2017-08-14,2.47,1044810.0,8017.0
2017-08-15,2.44,1062140.0,10297.0
2017-08-16,2.33,1087480.0,10113.0
2017-08-17,2.48,1046980.0,7417.0
2017-08-18,2.43,1118000.0,11797.0
2017-08-19,2.6,1104160.0,17974.0
2017-08-20,2.64,1182640.0,20270.0
2017-08-21,2.37,1438200.0,39739.0
2017-08-22,2.32,1412390.0,10816.0
2017-08-23,2.19,1386980.0,21384.0
2017-08-24,2.21,1451040.0,16877.0
2017-08-25,2.34,1347230.0,26630.0
2017-08-26,2.21,1441090.0,14714.0
2017-08-27,2.21,1387960.0,89018.0
2017-08-28,2.42,1424860.0,16792.0
2017-08-29,2.31,1528780.0,9507.0
2017-08-30,2.4,1496690.0,27051.0
2017-08-31,2.57,1559190.0,31017.0
