date,price,mrkcap,volume
2014-06-17,6e-05,10175300.0,2593.0
2014-06-18,6.7e-05,8572420.0,14531.0
2014-06-19,6.6e-05,10424400.0,11923.0
2014-06-20,6.5e-05,10262500.0,9531.0
2014-06-21,6e-05,10197900.0,9797.0
2014-06-22,7.8e-05,9287680.0,18882.0
2014-06-23,8.3e-05,12226800.0,5535.0
2014-06-24,5.8e-05,12991300.0,16144.0
2014-06-25,5.7e-05,10011100.0,6862.0
2014-06-26,5.8e-05,8858100.0,9498.0
2014-06-27,6e-05,9089320.0,1567.0
2014-06-28,5.4e-05,9374630.0,2040.0
2014-06-29,5.4e-05,8400930.0,2763.0
2014-06-30,5.1e-05,8494400.0,5260.0
2014-07-01,5.1e-05,8058680.0,3807.0
2014-07-02,4.6e-05,8028330.0,2441.0
2014-07-03,3.9e-05,7142670.0,2646.0
2014-07-04,5e-05,6071930.0,11741.0
2014-07-05,4.4e-05,7910050.0,2308.0
2014-07-06,4.4e-05,6939720.0,3619.0
2014-07-07,3.7e-05,6991590.0,3244.0
2014-07-08,4.4e-05,5871570.0,3122.0
2014-07-09,3.1e-05,6879050.0,1022.0
2014-07-10,4.9e-05,4916300.0,12453.0
2014-07-11,5.1e-05,7760190.0,10528.0
2014-07-12,4.4e-05,7959760.0,4235.0
2014-07-13,3.8e-05,6993010.0,4226.0
2014-07-14,5e-05,5925250.0,7401.0
2014-07-15,4.4e-05,7815600.0,1100.0
2014-07-16,3.7e-05,6872480.0,1387.0
2014-07-17,3.7e-05,5851570.0,1098.0
2014-07-18,3.8e-05,5899400.0,1946.0
2014-07-19,3.8e-05,5971260.0,650.0
2014-07-20,3.7e-05,5964340.0,2142.0
2014-07-21,3.1e-05,5922150.0,7383.0
2014-07-22,3.1e-05,4923530.0,1748.0
2014-07-23,3.1e-05,4919050.0,1449.0
2014-07-24,3e-05,4905460.0,2827.0
2014-07-25,3e-05,4765710.0,1931.0
2014-07-26,2.4e-05,4757390.0,618.0
2014-07-27,2.4e-05,3813420.0,329.0
2014-07-28,2.4e-05,3770510.0,655.0
2014-07-29,2.3e-05,3761000.0,2535.0
2014-07-30,2.5e-05,3701550.0,5572.0
2014-07-31,2e-05,3977150.0,1229.0
2014-08-01,2.4e-05,3120220.0,2175.0
2014-08-02,2.4e-05,3783140.0,1724.0
2014-08-03,2.3e-05,3743580.0,3149.0
2014-08-04,1.9e-05,3731270.0,7626.0
2014-08-05,1.7e-05,3072880.0,706.0
2014-08-06,1.8e-05,2771680.0,7420.0
2014-08-07,1.7e-05,2794180.0,1109.0
2014-08-08,1.8e-05,2729870.0,1019.0
2014-08-09,1.6e-05,2835010.0,2552.0
2014-08-10,1.3e-05,2618310.0,632.0
2014-08-11,1.2e-05,2112540.0,899.0
2014-08-12,1.6e-05,1935790.0,15690.0
2014-08-13,1.7e-05,2529190.0,1735.0
2014-08-14,2.1e-05,2648230.0,5393.0
2014-08-15,2.3e-05,3342750.0,5821.0
2014-08-16,2.6e-05,3633970.0,3894.0
2014-08-17,1.7e-05,4127750.0,3676.0
2014-08-18,1.8e-05,2685790.0,2381.0
2014-08-19,1.8e-05,2848380.0,6566.0
2014-08-20,1.6e-05,2944160.0,2696.0
2014-08-21,2.3e-05,2549710.0,1763.0
2014-08-22,2.7e-05,3658120.0,13695.0
2014-08-23,2.3e-05,4271750.0,4583.0
2014-08-24,2.1e-05,3771490.0,46.0
2014-08-25,2.3e-05,3417650.0,1373.0
2014-08-26,2.1e-05,3770280.0,4730.0
2014-08-27,2.3e-05,3432850.0,4623.0
2014-08-28,2.1e-05,3736180.0,2264.0
2014-08-29,1.9e-05,3322730.0,9769.0
2014-08-30,1.8e-05,3023300.0,958.0
