date,price,mrkcap,volume
2017-10-07,2.7,0.0,79554.0
2017-10-12,2.99,0.0,322269.0
2017-10-13,2.71,0.0,199539.0
2017-10-14,2.24,0.0,82511.0
2017-10-15,2.85,0.0,604427.0
2017-10-16,2.12,0.0,48748.0
2017-10-17,2.25,0.0,442008.0
2017-10-18,2.12,0.0,1959.0
2017-10-19,2.34,0.0,560956.0
2017-10-20,2.2,0.0,593.0
2017-10-21,2.29,0.0,8377.0
2017-10-22,1.91,0.0,68.0
2017-10-23,1.73,0.0,262.0
2017-10-24,1.83,0.0,122495.0
2017-10-25,1.59,0.0,103078.0
2017-10-26,1.42,0.0,121160.0
2017-10-27,1.35,0.0,114814.0
2017-10-28,1.43,0.0,104856.0
2017-10-29,1.41,0.0,105742.0
2017-10-30,0.884592,0.0,144318.0
2017-10-31,1.54,0.0,574651.0
2017-11-01,1.46,0.0,138360.0
2017-11-02,1.36,0.0,104615.0
2017-11-03,1.28,0.0,93517.0
2017-11-04,1.34,0.0,83286.0
2017-11-05,1.32,0.0,79061.0
2017-11-06,1.25,0.0,143660.0
2017-11-07,1.24,0.0,102042.0
2017-11-08,1.28,55510400.0,107181.0
2017-11-09,1.24,57265100.0,98033.0
2017-11-10,1.17,55870500.0,77186.0
2017-11-11,1.3,52208100.0,142993.0
2017-11-12,0.938893,58374700.0,51977.0
2017-11-13,1.09,42273000.0,106703.0
2017-11-14,1.06,49083700.0,110521.0
2017-11-15,1.2,47683200.0,101793.0
2017-11-16,1.25,54412200.0,109048.0
2017-11-17,1.3,56138100.0,100245.0
2017-11-18,1.26,58083000.0,104499.0
2017-11-19,1.23,56417000.0,98804.0
2017-11-20,1.32,55454000.0,106914.0
2017-11-21,1.3,59173300.0,105209.0
2017-11-22,1.54,58552900.0,135714.0
2017-11-23,1.55,69028200.0,132188.0
2017-11-24,1.87,69497700.0,123603.0
2017-11-25,1.82,84057900.0,104993.0
2017-11-26,2.12,81938500.0,109848.0
2017-11-27,2.21,95205700.0,127646.0
2017-11-28,2.09,99534200.0,133616.0
2017-11-29,2.21,94085900.0,123391.0
2017-11-30,2.23,101151000.0,135490.0
2017-12-01,2.62,99979000.0,146838.0
2017-12-02,3.62,109890000.0,195042.0
2017-12-03,3.1,162945000.0,236638.0
2017-12-04,3.25,139987000.0,147451.0
2017-12-05,3.53,146729000.0,173397.0
2017-12-06,4.25,158295000.0,162647.0
2017-12-07,5.13,191115000.0,210681.0
2017-12-08,4.36,231338000.0,324471.0
2017-12-09,3.68,195953000.0,171704.0
2017-12-10,3.99,166473000.0,164622.0
2017-12-11,4.19,178142000.0,192131.0
2017-12-12,4.31,189188000.0,188215.0
2017-12-13,4.28,193938000.0,174245.0
2017-12-14,4.47,191844000.0,177682.0
2017-12-15,4.41,201298000.0,199080.0
2017-12-16,5.45,198648000.0,294095.0
2017-12-17,5.15,245168000.0,173631.0
2017-12-18,5.92,232341000.0,255845.0
2017-12-19,4.92,291603000.0,215936.0
2017-12-20,4.77,221131000.0,190410.0
2017-12-21,5.0,215410000.0,227195.0
2017-12-22,4.12,225762000.0,214445.0
2017-12-23,4.91,187072000.0,148298.0
2017-12-24,4.47,223576000.0,233072.0
2017-12-25,4.39,203289000.0,243334.0
2017-12-26,4.9,201535000.0,225203.0
2017-12-27,4.36,220810000.0,218318.0
2017-12-28,4.87,195801000.0,192984.0
2017-12-29,4.94,221526000.0,243391.0
2017-12-30,3.99,221852000.0,109532.0
2017-12-31,5.01,177546000.0,353947.0
2018-01-01,4.59,226441000.0,244629.0
2018-01-02,4.63,206704000.0,314199.0
2018-01-03,4.54,207850000.0,230339.0
2018-01-04,5.01,205728000.0,238233.0
2018-01-05,5.27,225717000.0,261749.0
2018-01-06,5.68,237443000.0,265244.0
2018-01-07,5.86,255881000.0,279392.0
2018-01-08,5.1,263743000.0,259155.0
2018-01-09,5.1,229211000.0,226738.0
2018-01-10,5.1,217147000.0,233026.0
2018-01-11,4.68,229482000.0,216173.0
2018-01-12,5.85,218425000.0,246558.0
2018-01-13,5.89,263092000.0,223126.0
2018-01-14,5.65,265554000.0,243345.0
2018-01-15,6.26,252943000.0,288491.0
2018-01-16,5.08,282361000.0,260616.0
2018-01-17,5.25,227898000.0,207634.0
2018-01-18,5.59,237251000.0,244062.0
2018-01-19,5.4,249125000.0,243618.0
2018-01-20,6.0,245894000.0,284248.0
2018-01-21,5.94,271115000.0,261157.0
