date,price,mrkcap,volume
2016-02-10,0.97313,0.0,127149.0
2016-02-11,1.21,0.0,44529.0
2016-02-12,1.31,0.0,41599.0
2016-02-13,1.13,0.0,37094.0
2016-02-14,1.18,0.0,15138.0
2016-02-15,1.36,0.0,45922.0
2016-02-16,1.5,0.0,59303.0
2016-02-17,1.57,0.0,41295.0
2016-02-18,1.42,0.0,31431.0
2016-02-19,1.45,0.0,18000.0
2016-02-20,1.55,0.0,23922.0
2016-02-21,1.64,0.0,27627.0
2016-02-22,1.74,0.0,61298.0
2016-02-23,1.91,1629160.0,90550.0
2016-02-24,2.67,1804250.0,133621.0
2016-02-25,2.39,2554480.0,138725.0
2016-02-26,2.43,2339830.0,48829.0
2016-02-27,2.17,2361910.0,46765.0
2016-02-28,2.24,2121660.0,29047.0
2016-02-29,2.06,2211740.0,39208.0
2016-03-01,1.72,2056790.0,69219.0
2016-03-02,1.7,1708010.0,40583.0
2016-03-03,1.74,1719390.0,37621.0
2016-03-04,1.74,1764430.0,17233.0
2016-03-05,1.69,1791290.0,27323.0
2016-03-06,2.03,1778700.0,37126.0
2016-03-07,2.16,2143660.0,34234.0
2016-03-08,2.33,2292010.0,29222.0
2016-03-09,2.48,2460340.0,82286.0
2016-03-10,2.32,2663650.0,35050.0
2016-03-11,2.4,2517010.0,51701.0
2016-03-12,2.28,2505580.0,51006.0
2016-03-13,2.38,2512840.0,22474.0
2016-03-14,2.42,2642520.0,48534.0
2016-03-15,2.59,2709920.0,41795.0
2016-03-16,2.62,2727830.0,38186.0
2016-03-17,2.49,2979350.0,23704.0
2016-03-18,2.43,2868020.0,20667.0
2016-03-19,2.31,2804530.0,21945.0
2016-03-20,2.18,2676350.0,20628.0
2016-03-21,2.19,2551440.0,14562.0
2016-03-22,2.13,2582630.0,19899.0
2016-03-23,2.04,2530960.0,15242.0
2016-03-24,1.92,2442810.0,17730.0
2016-03-25,2.05,2311280.0,14750.0
2016-03-26,2.31,2487230.0,25084.0
2016-03-27,2.07,2821080.0,25734.0
2016-03-28,2.06,2552280.0,17492.0
2016-03-29,2.06,2549430.0,17297.0
2016-03-30,2.16,2593780.0,10261.0
2016-03-31,1.97,2717130.0,18322.0
2016-04-01,1.93,2493460.0,10215.0
2016-04-02,1.96,2464570.0,11825.0
2016-04-03,1.94,2513210.0,11890.0
2016-04-04,1.91,2527700.0,14314.0
2016-04-05,1.75,2447100.0,25092.0
2016-04-06,1.75,2287820.0,14643.0
2016-04-07,1.74,2301380.0,13286.0
2016-04-08,1.75,2312480.0,12918.0
2016-04-09,1.61,2351500.0,18126.0
2016-04-10,1.55,2160940.0,20144.0
2016-04-11,1.47,1989440.0,13226.0
2016-04-12,1.63,1994280.0,17348.0
2016-04-13,1.53,2158110.0,9428.0
2016-04-14,1.53,2113850.0,7486.0
2016-04-15,1.39,2114230.0,9294.0
2016-04-16,1.37,1929170.0,14852.0
2016-04-17,1.34,1921900.0,7936.0
2016-04-18,1.66,1896850.0,23797.0
2016-04-19,1.51,2351550.0,21691.0
2016-04-20,1.53,2162910.0,7501.0
2016-04-21,1.56,2203160.0,11051.0
2016-04-22,1.56,2259880.0,8972.0
2016-04-23,1.58,2268050.0,8728.0
2016-04-24,1.55,2306120.0,17802.0
2016-04-25,1.54,2289380.0,13339.0
2016-04-26,1.52,2282450.0,14299.0
2016-04-27,1.48,2265000.0,12204.0
2016-04-28,1.51,2218750.0,9091.0
2016-04-29,1.52,2280200.0,12578.0
2016-04-30,1.57,2306610.0,19796.0
2016-05-01,1.54,2393930.0,13659.0
2016-05-02,1.51,2358990.0,13513.0
2016-05-03,1.53,2342820.0,10195.0
2016-05-04,1.51,2408290.0,9993.0
2016-05-05,1.52,2343520.0,5907.0
2016-05-06,1.52,2372200.0,6274.0
2016-05-07,1.58,2394420.0,15547.0
2016-05-08,1.48,2495660.0,28101.0
2016-05-09,1.45,2360400.0,10184.0
2016-05-10,1.41,2322060.0,9627.0
2016-05-11,1.37,2259500.0,21921.0
2016-05-12,1.29,2185690.0,9646.0
2016-05-13,1.27,2088820.0,11199.0
2016-05-14,1.32,2074460.0,18408.0
2016-05-15,1.33,2165550.0,9978.0
2016-05-16,1.99,2195000.0,116107.0
2016-05-17,1.74,3286610.0,67422.0
2016-05-18,1.59,2816510.0,69528.0
2016-05-19,1.55,2658330.0,41199.0
2016-05-20,1.46,2638300.0,66155.0
2016-05-21,1.54,2470310.0,21176.0
2016-05-22,1.45,2607310.0,21063.0
2016-05-23,1.52,2473330.0,40226.0
2016-05-24,1.44,2633890.0,35044.0
2016-05-25,1.39,2484830.0,26727.0
2016-05-26,1.33,2390850.0,39358.0
2016-05-27,1.34,2318620.0,33076.0
2016-05-28,1.61,2340690.0,41689.0
2016-05-29,1.46,2774270.0,12336.0
2016-05-30,1.48,2584030.0,11309.0
2016-05-31,1.51,2618070.0,20533.0
2016-06-01,1.79,2690760.0,53836.0
2016-06-02,1.76,3131990.0,32681.0
2016-06-03,1.73,3162340.0,28368.0
2016-06-04,1.75,3124600.0,17331.0
2016-06-05,1.64,3171150.0,17063.0
2016-06-06,1.66,2978920.0,17433.0
2016-06-07,1.68,3046990.0,19335.0
2016-06-08,1.65,3087850.0,34527.0
2016-06-09,1.64,3043720.0,14239.0
2016-06-10,1.65,3042740.0,10577.0
2016-06-11,1.67,3069490.0,16851.0
2016-06-12,1.61,3131070.0,40326.0
2016-06-13,1.63,3023120.0,44252.0
2016-06-14,1.64,3086090.0,18274.0
2016-06-15,1.68,3104940.0,20702.0
2016-06-16,1.99,3203200.0,40434.0
2016-06-17,1.72,3797360.0,49842.0
2016-06-18,1.89,3260110.0,26733.0
2016-06-19,1.97,3648020.0,40840.0
2016-06-20,1.97,3819780.0,36050.0
2016-06-21,1.69,3773610.0,25715.0
2016-06-22,1.57,3299110.0,23941.0
2016-06-23,1.62,3077750.0,10020.0
2016-06-24,1.67,3184610.0,15277.0
2016-06-25,1.65,3313830.0,14449.0
2016-06-26,1.52,3281970.0,10783.0
2016-06-27,1.89,3030580.0,133737.0
2016-06-28,1.92,3730770.0,38047.0
