date,price,mrkcap,volume
2016-04-13,0.010352,172.0,4088.0
2016-04-14,0.008486,75.0,515.0
2016-04-15,0.008599,78.0,85.0
2016-04-16,0.007337,99.0,134.0
2016-04-17,0.009416,101.0,90.0
2016-04-18,0.009528,151.0,81.0
2016-04-19,0.010048,158.0,52.0
2016-04-20,0.009733,167.0,17.0
2016-04-21,0.009887,162.0,15.0
2016-04-22,0.024039,164.0,91.0
2016-04-23,0.005881,400.0,10.0
2016-04-24,0.005998,98.0,9.0
2016-04-25,0.004854,100.0,36.0
2016-04-26,0.004922,81.0,16.0
2016-04-27,0.0049,82.0,22.0
2016-04-28,0.004957,82.0,7.0
2016-04-29,0.005061,82.0,6.0
2016-04-30,0.005115,84.0,7.0
2016-05-01,0.005427,85.0,14.0
2016-05-02,0.005843,90.0,27.0
2016-05-03,0.005494,97.0,9.0
2016-05-04,0.005772,91.0,11.0
2016-05-05,0.005555,96.0,16.0
2016-05-06,0.005763,92.0,6.0
2016-05-07,0.00558,96.0,10.0
2016-05-08,0.017879,93.0,20.0
2016-05-09,0.005779,135.0,67.0
2016-05-10,0.005884,96.0,6.0
2016-05-11,0.005718,98.0,2.0
2016-05-12,0.005735,95.0,3.0
2016-05-13,0.00576,95.0,3.0
2016-05-14,0.005769,96.0,13.0
2016-05-15,0.005564,96.0,33.0
2016-05-16,0.000591,93.0,13.0
2016-05-17,0.007678,10.0,1.0
2016-05-18,0.00145,128.0,9.0
2016-05-19,0.008243,24.0,76.0
2016-05-20,0.003063,137.0,52.0
2016-05-21,0.012269,51.0,74.0
2016-05-22,0.011409,204.0,108.0
2016-05-23,0.004268,190.0,12.0
2016-05-24,0.004562,71.0,49.0
2016-05-25,0.00473,76.0,16.0
2016-05-26,0.023798,79.0,191.0
2016-05-27,0.015766,396.0,8.0
2016-05-28,0.008512,262.0,9.0
2016-05-29,0.006862,141.0,28.0
2016-05-30,0.006946,115.0,28.0
2016-05-31,0.002152,115.0,5.0
2016-06-01,0.002228,36.0,10.0
2016-06-02,0.002259,40.0,35.0
2016-06-03,0.003415,38.0,10.0
2016-06-04,0.00335,57.0,4.0
2016-06-05,0.0092,56.0,20.0
2016-06-06,0.004977,153.0,7.0
2016-06-07,0.004907,83.0,8.0
2016-06-08,0.004647,82.0,21.0
2016-06-09,0.004425,77.0,19.0
2016-06-10,0.004487,74.0,5.0
2016-06-11,0.00472,75.0,4.0
2016-06-12,0.005066,79.0,20.0
2016-06-13,0.005353,84.0,4.0
2016-06-14,0.005162,89.0,4.0
2016-06-15,0.004,86.0,13.0
2016-06-16,0.004399,67.0,6.0
2016-06-17,0.004301,73.0,4.0
2016-06-18,0.003411,71.0,8.0
2016-06-19,0.003443,57.0,10.0
2016-06-20,0.003325,57.0,5.0
2016-06-21,0.003007,55.0,4.0
2016-06-22,0.00149,50.0,6.0
2016-06-23,0.00131,25.0,3.0
2016-06-24,0.001404,22.0,4.0
2016-06-25,0.001397,23.0,44.0
2016-06-26,0.001437,23.0,12.0
2016-06-27,0.001507,24.0,2.0
2016-06-28,0.001682,25.0,3.0
2016-06-29,0.001932,28.0,4.0
2016-06-30,0.002123,32.0,4.0
2016-07-01,0.002029,35.0,2.0
2016-07-02,0.001611,34.0,5.0
2016-07-03,0.001508,27.0,1.0
2016-07-04,0.001709,25.0,1.0
2016-07-05,0.001743,28.0,4.0
2016-07-06,0.001808,29.0,6.0
2016-07-07,0.001697,30.0,1.0
2016-07-08,0.001767,28.0,2.0
2016-07-09,0.001692,29.0,3.0
2016-07-10,0.001696,28.0,3.0
2016-07-11,0.00169,28.0,2.0
2016-07-12,0.006619,28.0,15.0
2016-07-13,0.006465,110.0,1.0
2016-07-14,0.001776,107.0,1.0
2016-07-15,0.001744,30.0,6.0
2016-07-16,0.003967,29.0,2.0
2016-07-17,0.00611,66.0,1.0
2016-07-18,0.001622,102.0,0.0
2016-07-19,0.00471,27.0,0.0
2016-07-20,0.001997,78.0,0.0
2016-07-21,0.004057,33.0,3.0
2016-07-22,0.002413,67.0,1.0
2016-07-23,0.005172,40.0,2.0
2016-07-24,0.002499,86.0,0.0
2016-07-25,0.002622,42.0,2.0
2016-07-26,0.00521,44.0,1.0
2016-07-27,0.002428,87.0,36.0
2016-07-28,0.005024,40.0,2.0
2016-07-29,0.002628,84.0,0.0
2016-07-30,0.002626,44.0,0.0
2016-08-01,0.00363,62.0,0.0
2016-08-02,0.003121,60.0,3.0
2016-08-03,0.00337,52.0,4.0
2016-08-04,0.003439,56.0,3.0
2016-08-06,0.003403,20.0,6.0
2016-08-07,0.003406,57.0,4.0
2016-08-11,0.002652,45.0,0.0
2016-08-12,0.002646,44.0,0.0
2016-08-15,0.002439,41.0,0.0
2016-08-16,0.002484,41.0,0.0
2016-08-18,0.003313,43.0,10.0
2016-08-19,0.003325,55.0,1.0
2016-08-21,0.003477,22.0,0.0
2016-08-22,0.003515,58.0,0.0
2016-08-23,0.001517,22.0,0.0
2016-08-24,0.003179,25.0,12.0
2016-08-25,0.001745,53.0,1.0
2016-08-26,0.001745,29.0,0.0
2016-08-27,0.001722,29.0,0.0
2016-08-28,0.001733,29.0,1.0
2016-08-29,0.001728,29.0,0.0
2016-08-30,0.001738,29.0,2.0
2016-08-31,0.001271,29.0,1.0
2016-09-01,0.001264,21.0,0.0
2016-09-02,0.003275,21.0,11.0
2016-09-03,0.003393,54.0,7.0
2016-09-04,0.001363,23.0,5.0
2016-09-05,0.003445,23.0,2.0
2016-09-06,0.003406,57.0,1.0
2016-09-07,0.001413,57.0,0.0
2016-09-08,0.001441,24.0,1.0
2016-09-09,0.001429,24.0,0.0
2016-09-10,0.001415,55.0,1.0
2016-09-11,0.001416,24.0,0.0
2016-09-13,0.003149,52.0,0.0
2016-09-14,0.003146,52.0,0.0
2016-09-16,0.0017,23.0,30.0
2016-09-17,0.001655,28.0,0.0
2016-09-18,0.002934,28.0,4.0
2016-09-19,0.002705,49.0,1.0
2016-09-20,0.00271,45.0,0.0
2016-09-21,0.001284,45.0,7.0
2016-09-22,0.001284,21.0,7.0
2016-09-23,0.001302,38.0,0.0
2016-09-24,0.00229,22.0,3.0
2016-09-25,0.002403,38.0,3.0
2016-09-26,0.001405,40.0,1.0
2016-09-27,0.001406,23.0,0.0
2016-09-28,0.001421,23.0,0.0
2016-09-29,0.001441,24.0,0.0
2016-09-30,0.001475,24.0,2.0
2016-10-01,0.00151,25.0,0.0
2016-10-02,0.001509,25.0,2.0
2016-10-03,0.001509,25.0,2.0
2016-10-05,0.001556,26.0,0.0
2016-10-06,0.00233,26.0,7.0
2016-10-07,0.001629,39.0,0.0
2016-10-08,0.001616,27.0,0.0
2016-10-09,0.001616,27.0,0.0
2016-10-10,0.001621,27.0,0.0
2016-10-11,0.0017,27.0,0.0
2016-10-12,0.002405,28.0,29.0
2016-10-13,0.002408,40.0,0.0
2016-10-15,0.001903,32.0,4.0
2016-10-16,0.001908,32.0,4.0
2016-10-17,0.001336,22.0,2.0
2016-10-18,0.001337,22.0,1.0
2016-10-20,0.002076,35.0,6.0
2016-10-21,0.00208,35.0,6.0
2016-10-23,0.001458,25.0,3.0
2016-10-24,0.001452,24.0,1.0
2016-10-25,0.001466,24.0,0.0
2016-10-26,0.001499,24.0,0.0
2016-10-27,0.001713,25.0,1.0
2016-10-28,0.001662,28.0,13.0
2016-10-29,0.00173,28.0,0.0
2016-10-30,0.002674,29.0,12.0
2016-10-31,0.002383,40.0,12.0
2016-11-01,0.002481,40.0,0.0
2016-11-02,0.003334,41.0,13.0
2016-11-03,0.003304,56.0,5.0
2016-11-04,0.004016,55.0,37.0
2016-11-05,0.004256,67.0,3.0
2016-11-06,0.004306,71.0,0.0
2016-11-07,0.004252,72.0,2.0
2016-11-08,0.004296,71.0,2.0
2016-11-09,0.004375,71.0,17.0
2016-11-10,0.00508,73.0,0.0
2016-11-11,0.005079,84.0,1.0
2016-11-12,0.005704,84.0,13.0
2016-11-13,0.005645,95.0,25.0
2016-11-14,0.004263,94.0,6.0
2016-11-15,0.005721,71.0,3.0
2016-11-16,0.004503,95.0,7.0
2016-11-17,0.006227,75.0,4.0
2016-11-18,0.006578,103.0,6.0
2016-11-19,0.007387,109.0,0.0
2016-11-20,0.007419,123.0,0.0
2016-11-22,0.004891,80.0,0.0
2016-11-23,0.004847,81.0,0.0
2016-11-24,0.004791,81.0,0.0
2016-11-25,0.007283,121.0,4.0
2016-11-26,0.009453,121.0,17.0
2016-11-27,0.009333,157.0,10.0
2016-11-28,0.009146,155.0,7.0
2016-11-29,0.008961,152.0,3.0
2016-11-30,0.009085,149.0,0.0
2016-12-01,0.008874,82.0,4.0
2016-12-02,0.008944,148.0,6.0
2016-12-03,0.007703,129.0,25.0
2016-12-04,0.005059,128.0,8.0
2016-12-05,0.00522,84.0,8.0
2016-12-06,0.002484,87.0,7.0
2016-12-07,0.002496,41.0,2.0
2016-12-08,0.002452,42.0,0.0
2016-12-09,0.002461,41.0,0.0
2016-12-10,0.002463,41.0,0.0
2016-12-11,0.00454,41.0,5.0
2016-12-12,0.004939,76.0,2.0
2016-12-13,0.008988,82.0,46.0
2016-12-14,0.005242,149.0,20.0
2016-12-15,0.00902,87.0,35.0
2016-12-16,0.009191,150.0,16.0
2016-12-17,0.011229,153.0,282.0
2016-12-18,0.005753,187.0,42.0
2016-12-19,0.011147,96.0,16.0
2016-12-20,0.007211,185.0,4.0
2016-12-21,0.011563,120.0,52.0
2016-12-22,0.005094,192.0,155.0
2016-12-23,0.012053,85.0,0.0
2016-12-24,0.00584,201.0,5.0
2016-12-25,0.005837,97.0,1.0
2016-12-26,0.005925,97.0,0.0
2016-12-27,0.007732,60.0,16.0
2016-12-28,0.003962,129.0,2.0
2016-12-29,0.006796,66.0,12.0
2016-12-30,0.003902,113.0,4.0
2016-12-31,0.013587,65.0,62.0
2017-01-01,0.004919,226.0,10.0
2017-01-02,0.013958,82.0,8.0
2017-01-03,0.013364,232.0,5.0
2017-01-04,0.007406,222.0,5.0
2017-01-05,0.012703,123.0,9.0
2017-01-06,0.004439,212.0,5.0
2017-01-07,0.00686,74.0,1.0
2017-01-08,0.004613,114.0,1.0
2017-01-09,0.004607,77.0,4.0
2017-01-10,0.004638,77.0,3.0
2017-01-11,0.004673,77.0,1.0
2017-01-12,0.004115,78.0,1.0
2017-01-13,0.004196,68.0,0.0
2017-01-14,0.004237,70.0,0.0
2017-01-15,0.004101,70.0,1.0
2017-01-16,0.00414,68.0,5.0
2017-01-17,0.004546,69.0,4.0
2017-01-18,0.006075,76.0,12.0
2017-01-19,0.004479,101.0,13.0
2017-01-20,0.004484,74.0,18.0
2017-01-21,0.004613,75.0,18.0
2017-01-22,0.004784,80.0,1.0
2017-01-23,0.006331,80.0,1.0
2017-01-24,0.00464,104.0,30.0
2017-01-25,0.009716,77.0,125.0
2017-01-26,0.012534,162.0,52.0
2017-01-27,0.018405,208.0,1032.0
2017-01-28,0.023086,306.0,2829.0
2017-01-29,0.023917,384.0,104.0
2017-01-30,0.051091,398.0,168.0
2017-01-31,0.037852,849.0,147.0
2017-02-01,0.039753,629.0,69.0
2017-02-02,0.031366,661.0,174.0
2017-02-03,0.024718,521.0,60.0
2017-02-04,0.032226,412.0,97.0
2017-02-05,0.021081,536.0,35.0
2017-02-06,0.028206,351.0,47.0
2017-02-07,0.023424,470.0,58.0
2017-02-08,0.031892,390.0,1.0
2017-02-09,0.029543,531.0,0.0
2017-02-10,0.028662,355.0,430.0
2017-02-11,0.022329,477.0,23.0
2017-02-12,0.040007,371.0,742.0
2017-02-13,0.029898,665.0,175.0
2017-02-14,0.031493,498.0,73.0
2017-02-15,0.045317,524.0,31.0
2017-02-16,0.03257,754.0,50.0
2017-02-17,0.031449,541.0,160.0
2017-02-18,0.031685,524.0,123.0
2017-02-19,0.031489,527.0,8.0
2017-02-20,0.032475,524.0,17.0
2017-02-21,0.035377,540.0,7.0
2017-02-22,0.033613,588.0,6.0
2017-02-23,0.035095,559.0,1484.0
2017-02-24,0.037558,587.0,45.0
2017-02-25,0.034315,623.0,12.0
2017-02-26,0.034979,571.0,1.0
2017-02-27,0.035445,581.0,1.0
2017-02-28,0.035399,593.0,7.0
2017-03-01,0.042604,589.0,383.0
2017-03-02,0.037518,710.0,47.0
2017-03-03,0.038237,624.0,11.0
2017-03-04,0.043667,637.0,16.0
2017-03-05,0.038001,726.0,14.0
