date,price,mrkcap,volume
2017-07-01,1.01,0.0,13613000.0
2017-07-02,2.71,0.0,320452000.0
2017-07-03,4.09,0.0,414950000.0
2017-07-04,3.37,656753000.0,218559000.0
2017-07-05,3.0,547544000.0,124339000.0
2017-07-06,3.36,502465000.0,177463000.0
2017-07-07,2.8,566644000.0,96596500.0
2017-07-08,2.59,485188000.0,151162000.0
2017-07-09,2.29,491957000.0,87525100.0
2017-07-10,1.83,464611000.0,79608800.0
2017-07-11,1.66,372111000.0,111023000.0
2017-07-12,2.07,346085000.0,104621000.0
2017-07-13,1.74,443420000.0,51203900.0
2017-07-14,1.55,371675000.0,41025200.0
2017-07-15,1.3,339219000.0,34208800.0
2017-07-16,1.25,284276000.0,30802800.0
2017-07-17,1.54,278755000.0,62295100.0
2017-07-18,1.7,345694000.0,58108000.0
2017-07-19,1.56,384563000.0,55057600.0
2017-07-20,1.74,357758000.0,45949800.0
2017-07-21,1.82,404351000.0,58164900.0
2017-07-22,1.96,421938000.0,41809000.0
2017-07-23,1.87,459832000.0,60205000.0
2017-07-24,1.87,445118000.0,36585400.0
2017-07-25,1.65,448823000.0,42547000.0
2017-07-26,1.74,396121000.0,48693200.0
2017-07-27,1.95,425312000.0,69371700.0
2017-07-28,1.85,481392000.0,64730400.0
2017-07-29,1.83,452704000.0,44021100.0
2017-07-30,1.78,455967000.0,27580200.0
2017-07-31,1.74,446574000.0,29657700.0
2017-08-01,1.78,442971000.0,39175500.0
2017-08-02,1.78,455223000.0,28880800.0
2017-08-03,1.8,457634000.0,25878000.0
2017-08-04,1.81,467884000.0,34183300.0
2017-08-05,1.91,471268000.0,52324800.0
2017-08-06,1.74,501778000.0,38436700.0
2017-08-07,1.81,462733000.0,46022400.0
2017-08-08,1.88,487777000.0,76270800.0
2017-08-09,1.83,510157000.0,36813700.0
2017-08-10,1.83,501169000.0,43519300.0
2017-08-11,1.79,504138000.0,49178400.0
2017-08-12,1.67,495957000.0,38131800.0
2017-08-13,1.62,465780000.0,40514200.0
2017-08-14,1.66,453328000.0,39205300.0
2017-08-15,1.65,469853000.0,58304700.0
2017-08-16,1.6,468739000.0,24022000.0
2017-08-17,1.55,459650000.0,25713300.0
2017-08-18,1.42,445570000.0,26841700.0
2017-08-19,1.4,414746000.0,24769900.0
2017-08-20,1.37,412029000.0,15673200.0
2017-08-21,1.34,404724000.0,20152300.0
