date,price,mrkcap,volume
2016-09-03,6e-06,0.0,117.0
2016-09-04,6e-06,19572.0,19.0
2016-09-05,6e-06,23163.0,25.0
2016-09-06,1e-06,24599.0,18.0
2016-09-07,6e-06,6699.0,363.0
2016-09-08,5e-06,29306.0,103.0
2016-09-09,6e-06,28601.0,94.0
2016-09-10,4e-06,35339.0,125.0
2016-09-11,6e-06,21669.0,202.0
2016-09-12,1.9e-07,37549.0,61.0
2016-09-13,2.3e-07,1236.0,21.0
2016-09-14,1.5e-07,1539.0,40.0
2016-09-15,3e-07,1159.0,21.0
2016-09-16,1.9e-07,2390.0,9.0
2016-09-17,1.5e-07,1538.0,33.0
2016-09-18,1.6e-07,2064.0,48.0
2016-09-19,1.1e-07,1503.0,30.0
2016-09-20,1.5e-07,1099.0,19.0
2016-09-21,1.2e-07,1586.0,43.0
2016-09-22,1.1e-07,1229.0,14.0
2016-09-23,1.1e-07,1248.0,20.0
2016-09-24,1.5e-07,1309.0,38.0
2016-09-25,1.1e-07,1776.0,19.0
2016-09-26,1.2e-07,1362.0,48.0
2016-09-27,1.2e-07,1435.0,17.0
2016-09-28,1.2e-07,1516.0,20.0
2016-09-29,1.9e-07,1541.0,11.0
2016-09-30,1.2e-07,2676.0,0.0
2016-10-01,1.2e-07,1654.0,21.0
2016-10-02,1.2e-07,1699.0,176.0
2016-10-03,1.2e-07,1736.0,3.0
2016-10-04,1.5e-07,1776.0,55.0
2016-10-05,1.5e-07,2423.0,48.0
2016-10-06,1.5e-07,2486.0,53.0
2016-10-07,1.5e-07,2521.0,54.0
2016-10-08,1.9e-07,2583.0,70.0
2016-10-09,1.5e-07,3287.0,28.0
2016-10-10,2.3e-07,2656.0,83.0
2016-10-11,1.1e-07,4022.0,27.0
2016-10-12,7.5e-08,2049.0,36.0
2016-10-13,7.8e-08,1360.0,5.0
2016-10-14,7.8e-08,1452.0,8.0
2016-10-15,3.9e-08,1470.0,0.0
2016-10-16,7.8e-08,742.0,8.0
2016-10-17,3.9e-08,1506.0,4.0
2016-10-18,3.8e-08,776.0,60.0
2016-10-19,7.6e-08,765.0,26.0
2016-10-20,3.8e-08,1534.0,1.0
2016-10-21,3.8e-08,773.0,1.0
2016-10-23,3.9e-08,822.0,4.0
2016-10-24,3.9e-08,830.0,4.0
2016-10-25,3.9e-08,827.0,1.0
2016-10-26,4e-08,848.0,21.0
2016-10-27,4e-08,868.0,3.0
2016-10-28,4e-08,896.0,1.0
2016-10-29,4.1e-08,894.0,1.0
2016-10-30,8.1e-08,931.0,49.0
2016-10-31,4e-08,1858.0,0.0
2016-11-01,4.1e-08,930.0,5.0
2016-11-02,4.1e-08,958.0,20.0
2016-11-03,3.9e-08,972.0,7.0
2016-11-04,3.9e-08,921.0,36.0
2016-11-05,3.9e-08,936.0,3.0
2016-11-06,3.9e-08,943.0,7.0
2016-11-07,3.8e-08,960.0,33.0
2016-11-08,3.8e-08,957.0,3.0
2016-11-09,3.9e-08,969.0,5.0
2016-11-10,3.8e-08,982.0,8.0
2016-11-11,3.8e-08,987.0,6.0
2016-11-12,3.8e-08,992.0,0.0
2016-11-13,3.9e-08,989.0,0.0
2016-11-14,3.9e-08,1033.0,14.0
2016-11-15,3.9e-08,1042.0,13.0
2016-11-16,4e-08,1054.0,0.0
2016-11-17,3.9e-08,1111.0,70.0
2016-11-18,7.9e-08,1093.0,39.0
2016-11-19,4e-08,2218.0,6.0
2016-11-20,3.9e-08,1117.0,4.0
2016-11-21,3.9e-08,1117.0,4.0
2016-11-22,3.9e-08,1134.0,3.0
2016-11-23,7.8e-08,1149.0,4.0
2016-11-24,3.9e-08,2298.0,5.0
2016-11-25,3.9e-08,1154.0,3.0
2016-11-26,3.9e-08,1166.0,21.0
2016-11-27,3.9e-08,1173.0,4.0
2016-11-28,3.9e-08,1181.0,3.0
2016-11-29,3.9e-08,1189.0,26.0
2016-11-30,3.9e-08,1198.0,12.0
2016-12-01,3.9e-08,1211.0,5.0
2016-12-02,7.9e-08,1229.0,11.0
2016-12-03,3.9e-08,2497.0,0.0
2016-12-04,3.9e-08,1269.0,7.0
2016-12-05,3.5e-08,1256.0,4.0
2016-12-06,3.5e-08,1196.0,10.0
2016-12-07,3.6e-08,1285.0,6.0
2016-12-08,3.7e-08,1348.0,5.0
2016-12-09,3.7e-08,1391.0,40.0
2016-12-10,3.7e-08,1435.0,3.0
2016-12-11,3.6e-08,1443.0,9.0
2016-12-12,3.7e-08,1450.0,8.0
