date,price,mrkcap,volume
2017-07-06,1.72,0.0,121304.0
2017-07-07,2.01,0.0,143068.0
2017-07-08,1.81,0.0,76060.0
2017-07-09,2.11,0.0,67816.0
2017-07-10,1.8,0.0,93634.0
2017-07-11,2.19,0.0,152548.0
2017-07-12,2.67,0.0,170201.0
2017-07-13,3.24,0.0,194312.0
2017-07-14,2.8,0.0,140144.0
2017-07-15,1.95,0.0,80640.0
2017-07-16,2.1,0.0,59502.0
2017-07-17,2.11,0.0,45349.0
2017-07-18,2.29,0.0,56900.0
2017-07-19,2.16,0.0,55994.0
2017-07-20,2.26,0.0,52171.0
2017-07-21,2.19,0.0,61106.0
2017-07-22,2.51,0.0,87787.0
2017-07-23,2.55,0.0,87052.0
2017-07-24,2.68,0.0,50053.0
2017-07-25,2.56,0.0,68301.0
2017-07-26,2.51,0.0,59517.0
2017-07-27,2.52,0.0,53595.0
2017-07-28,2.53,0.0,215153.0
2017-07-29,2.51,0.0,207953.0
2017-07-30,2.51,0.0,214101.0
2017-07-31,2.32,0.0,198893.0
2017-08-01,2.4,0.0,230750.0
2017-08-02,2.37,7018420.0,258061.0
2017-08-03,2.43,6928270.0,306871.0
2017-08-04,2.85,7109470.0,304007.0
2017-08-05,3.65,8344340.0,361861.0
2017-08-06,4.17,10661000.0,395513.0
2017-08-07,7.91,12222900.0,1017640.0
2017-08-08,10.54,23194300.0,2261940.0
2017-08-09,22.32,30882000.0,12738800.0
2017-08-10,19.97,70786700.0,8774840.0
2017-08-11,17.07,60388200.0,3564800.0
2017-08-12,16.96,51673400.0,2861160.0
2017-08-13,27.72,49761400.0,5659100.0
2017-08-14,34.91,80705800.0,8351290.0
2017-08-15,32.91,99548600.0,6518010.0
2017-08-16,36.98,95474300.0,4410840.0
2017-08-17,32.31,105426000.0,3337770.0
2017-08-18,27.69,93985500.0,3120270.0
2017-08-19,32.75,85618100.0,2329640.0
2017-08-20,29.56,95695200.0,1522630.0
2017-08-21,25.15,86281500.0,1605980.0
2017-08-22,24.46,74664600.0,1721320.0
2017-08-23,24.67,70981000.0,1339760.0
2017-08-24,25.07,203496000.0,1052500.0
2017-08-25,23.05,205126000.0,936671.0
2017-08-26,21.51,190511000.0,712479.0
2017-08-27,19.31,177575000.0,704800.0
2017-08-28,19.76,159665000.0,626972.0
