date,price,mrkcap,volume
2017-08-20,20.37,0.0,6789300.0
2017-08-21,15.3,0.0,11376500.0
2017-08-22,13.99,0.0,8898470.0
2017-08-23,22.37,0.0,8823000.0
2017-08-24,27.67,0.0,12398700.0
2017-08-25,26.32,0.0,5318770.0
2017-08-26,34.76,0.0,8036550.0
2017-08-27,40.83,0.0,72960100.0
2017-08-28,32.84,0.0,57085600.0
2017-08-29,32.48,1093280000.0,60918800.0
2017-08-30,27.36,1072670000.0,33471700.0
2017-08-31,33.58,928817000.0,46054400.0
2017-09-01,33.34,1127400000.0,56578600.0
2017-09-02,28.55,1107020000.0,60982700.0
2017-09-03,20.85,954485000.0,60751100.0
2017-09-04,9.03,697918000.0,64300800.0
2017-09-05,9.03,307385000.0,88734200.0
2017-09-06,9.68,301422000.0,13079500.0
2017-09-07,19.4,329917000.0,34848700.0
2017-09-08,12.47,654199000.0,23469000.0
2017-09-09,12.36,421221000.0,26475000.0
2017-09-10,11.42,414700000.0,21907000.0
2017-09-11,11.83,384568000.0,31587100.0
2017-09-12,11.41,397572000.0,18006300.0
2017-09-13,11.19,381549000.0,16480300.0
2017-09-14,6.46,372242000.0,13122700.0
2017-09-15,6.01,218964000.0,19928800.0
2017-09-16,5.57,199238000.0,17010600.0
2017-09-17,5.08,189102000.0,11607000.0
2017-09-18,6.46,172983000.0,16419900.0
2017-09-19,5.82,219478000.0,15557000.0
2017-09-20,5.45,195256000.0,11062000.0
2017-09-21,5.02,181958000.0,6283640.0
2017-09-22,4.96,168961000.0,6049430.0
2017-09-23,5.27,167187000.0,5412700.0
2017-09-24,5.16,176592000.0,2969910.0
2017-09-25,6.02,173154000.0,10613600.0
2017-09-26,6.0,202114000.0,6613300.0
2017-09-27,5.94,201361000.0,5827500.0
2017-09-28,6.69,206633000.0,13321400.0
2017-09-29,6.5,224822000.0,11415400.0
2017-09-30,8.4,218380000.0,24790100.0
2017-10-01,7.9,281401000.0,23910900.0
2017-10-02,7.21,265350000.0,23609600.0
2017-10-03,6.08,243577000.0,22661700.0
2017-10-04,6.12,205153000.0,23328500.0
2017-10-05,6.89,205974000.0,21713900.0
2017-10-06,7.05,231753000.0,21857200.0
2017-10-07,7.14,238219000.0,26670200.0
2017-10-08,7.17,240372000.0,7921110.0
2017-10-09,7.57,241671000.0,11988900.0
2017-10-10,9.64,254851000.0,10726100.0
2017-10-11,9.94,330579000.0,13935400.0
2017-10-12,9.81,334487000.0,17543300.0
2017-10-13,10.58,330998000.0,20057800.0
2017-10-14,12.29,358673000.0,17945200.0
2017-10-15,11.65,414196000.0,19203800.0
2017-10-16,11.18,392395000.0,16241700.0
2017-10-17,10.64,377697000.0,16371000.0
2017-10-18,10.12,359562000.0,14448500.0
2017-10-19,10.65,340556000.0,17482900.0
2017-10-20,10.87,360068000.0,8554240.0
2017-10-21,10.69,366589000.0,13243100.0
2017-10-22,10.46,360928000.0,14194200.0
2017-10-23,9.97,352735000.0,13741200.0
2017-10-24,10.07,337046000.0,15250900.0
2017-10-25,10.21,338810000.0,16453300.0
2017-10-26,9.78,344953000.0,12353300.0
2017-10-27,9.43,330611000.0,9836020.0
2017-10-28,9.31,318369000.0,14990100.0
2017-10-29,9.65,313084000.0,19171000.0
2017-10-30,9.83,323690000.0,17844100.0
2017-10-31,10.76,332876000.0,22692000.0
2017-11-01,10.15,361790000.0,22822300.0
2017-11-02,9.7,345821000.0,25565200.0
2017-11-03,9.41,327111000.0,19221800.0
2017-11-04,9.74,1936090.0,14889300.0
2017-11-05,9.84,327885000.0,12602900.0
2017-11-06,9.49,331409000.0,12450500.0
2017-11-07,9.67,399780000.0,12788100.0
2017-11-08,10.63,407808000.0,16181800.0
2017-11-09,11.45,453613000.0,15279400.0
2017-11-10,10.42,480761000.0,14322000.0
2017-11-11,10.44,440276000.0,12939000.0
2017-11-12,14.5,440679000.0,35274400.0
2017-11-13,15.85,627143000.0,20064300.0
2017-11-14,15.22,672729000.0,13310000.0
2017-11-15,19.85,642276000.0,31405200.0
2017-11-16,18.8,847969000.0,52090800.0
2017-11-17,21.2,791947000.0,45202200.0
2017-11-18,20.78,895856000.0,40753600.0
2017-11-19,19.22,864528000.0,27871700.0
2017-11-20,18.28,812022000.0,27072500.0
2017-11-21,17.56,771028000.0,29483600.0
2017-11-22,16.75,745877000.0,29309100.0
2017-11-23,16.09,702920000.0,47993300.0
2017-11-24,18.64,675411000.0,71235900.0
2017-11-25,19.06,786400000.0,39914200.0
2017-11-26,20.58,806856000.0,55829600.0
2017-11-27,19.89,869870000.0,63766200.0
2017-11-28,19.55,840954000.0,66225200.0
2017-11-29,16.3,826277000.0,59061900.0
2017-11-30,16.01,700241000.0,54218600.0
2017-12-01,16.9,675011000.0,56774800.0
2017-12-02,17.63,717060000.0,53462000.0
2017-12-03,18.13,753016000.0,67774800.0
2017-12-04,17.36,766379000.0,69284300.0
2017-12-05,16.41,736571000.0,82850000.0
2017-12-06,15.23,693927000.0,57008800.0
2017-12-07,14.55,634733000.0,49508000.0
2017-12-08,14.74,619075000.0,56016000.0
2017-12-09,13.93,624829000.0,42711000.0
2017-12-10,13.16,592522000.0,32666000.0
2017-12-11,15.96,554629000.0,74061600.0
2017-12-12,16.02,671848000.0,60178200.0
2017-12-13,16.67,681361000.0,70634800.0
2017-12-14,18.82,702604000.0,77471400.0
2017-12-15,21.93,795999000.0,88688300.0
2017-12-16,23.48,921878000.0,80170000.0
2017-12-17,21.33,994385000.0,51759400.0
2017-12-18,31.1,904928000.0,160745000.0
2017-12-19,35.36,1320860000.0,196577000.0
2017-12-20,37.0,1489170000.0,165648000.0
2017-12-21,36.64,1570120000.0,158964000.0
2017-12-22,29.25,1563310000.0,156137000.0
2017-12-23,30.59,1242370000.0,175971000.0
2017-12-24,28.36,1293300000.0,213808000.0
2017-12-25,27.8,1220600000.0,155787000.0
2017-12-26,28.13,1187510000.0,168343000.0
2017-12-27,35.61,1191570000.0,402025000.0
2017-12-28,29.27,1504010000.0,229394000.0
2017-12-29,29.49,1256820000.0,220630000.0
2017-12-30,25.37,1248960000.0,185927000.0
2017-12-31,29.52,1051760000.0,331258000.0
2018-01-01,28.28,1258150000.0,244012000.0
2018-01-02,26.23,1187350000.0,222538000.0
2018-01-03,25.21,1098690000.0,236658000.0
2018-01-04,24.73,1069000000.0,184889000.0
2018-01-05,22.96,1044550000.0,212222000.0
2018-01-06,25.75,975835000.0,260457000.0
2018-01-07,24.83,1106380000.0,244111000.0
2018-01-08,20.16,1057570000.0,137125000.0
2018-01-09,22.62,858145000.0,203836000.0
2018-01-10,20.17,962983000.0,197389000.0
2018-01-11,17.42,844521000.0,175547000.0
2018-01-12,18.82,743587000.0,197786000.0
2018-01-13,19.34,798365000.0,192686000.0
2018-01-14,18.61,822388000.0,218194000.0
2018-01-15,17.31,783510000.0,167830000.0
2018-01-16,11.69,732662000.0,127663000.0
2018-01-17,11.32,493040000.0,127693000.0
2018-01-18,11.38,486452000.0,113301000.0
2018-01-19,13.48,482497000.0,141744000.0
2018-01-20,14.56,573182000.0,115697000.0
2018-01-21,12.11,617945000.0,96962000.0
