date,price,mrkcap,volume
2017-09-27,0.000116,0.0,372049.0
2017-09-28,0.000111,87954500.0,424899.0
2017-09-29,9.6e-05,83559500.0,289875.0
2017-09-30,8.7e-05,72388000.0,267481.0
2017-10-01,8.7e-05,66173700.0,399236.0
2017-10-02,0.000107,66220600.0,390985.0
2017-10-03,8.8e-05,81083800.0,304883.0
2017-10-04,9.4e-05,66640200.0,349608.0
2017-10-05,9.7e-05,71582400.0,227647.0
2017-10-06,0.000103,73611200.0,166028.0
2017-10-07,0.000106,77706300.0,213933.0
2017-10-08,8.6e-05,79778700.0,145582.0
2017-10-09,7.1e-05,61548200.0,159879.0
2017-10-10,7.3e-05,54112900.0,141326.0
2017-10-11,7.9e-05,55496300.0,89591.0
2017-10-12,8.6e-05,59548100.0,103427.0
2017-10-13,8.4e-05,64500900.0,159065.0
2017-10-14,7e-05,63687400.0,110032.0
2017-10-15,6.8e-05,53011000.0,97731.0
2017-10-16,7e-05,51859100.0,55276.0
2017-10-17,6.6e-05,52491600.0,51836.0
2017-10-18,7.1e-05,49729000.0,183230.0
2017-10-19,6.3e-05,53234000.0,80708.0
2017-10-20,6.4e-05,47885000.0,71299.0
2017-10-21,6.3e-05,48085200.0,44929.0
2017-10-22,6e-05,47704100.0,76946.0
2017-10-23,5.8e-05,45654700.0,58829.0
2017-10-24,5.9e-05,44157600.0,95553.0
2017-10-25,5.5e-05,44602000.0,48390.0
2017-10-26,5e-05,41167000.0,122483.0
2017-10-27,5.3e-05,37960000.0,149697.0
2017-10-28,5.5e-05,39996200.0,38250.0
2017-10-29,5.6e-05,41426100.0,25454.0
2017-10-30,5.3e-05,42260700.0,52101.0
2017-10-31,4.9e-05,39910400.0,28608.0
2017-11-01,4.8e-05,37291500.0,39287.0
2017-11-02,4e-05,36338400.0,70670.0
2017-11-03,4.9e-05,30676700.0,81746.0
2017-11-04,4.6e-05,37252800.0,37031.0
2017-11-05,4.6e-05,34909800.0,28354.0
2017-11-06,4.3e-05,34520800.0,26815.0
2017-11-07,4.8e-05,32923300.0,53833.0
2017-11-08,6.2e-05,36205300.0,77855.0
2017-11-09,6e-05,46508600.0,60472.0
2017-11-10,5.3e-05,45364500.0,34676.0
2017-11-11,5.1e-05,40234300.0,144505.0
2017-11-12,5e-05,38692000.0,74943.0
2017-11-13,5.3e-05,37581400.0,30496.0
2017-11-14,5.6e-05,39962500.0,31298.0
2017-11-15,5.6e-05,42172300.0,88513.0
2017-11-16,5.7e-05,41963900.0,32439.0
2017-11-17,6e-05,43140600.0,58875.0
2017-11-18,6.7e-05,44551200.0,48443.0
2017-11-19,7.6e-05,50648200.0,47073.0
2017-11-20,7.6e-05,57506600.0,61338.0
2017-11-21,6.2e-05,57427300.0,39580.0
2017-11-22,6.4e-05,46785900.0,62283.0
2017-11-23,6.3e-05,48238400.0,48963.0
2017-11-24,7.6e-05,47681600.0,43287.0
2017-11-25,7e-05,57165500.0,61052.0
2017-11-26,6.8e-05,52908500.0,44670.0
2017-11-27,6.2e-05,51090600.0,32146.0
2017-11-28,6.2e-05,47138300.0,105338.0
2017-11-29,5.9e-05,47125100.0,114599.0
2017-11-30,6.9e-05,45213000.0,65174.0
2017-12-01,6.8e-05,51956500.0,56901.0
2017-12-02,6.9e-05,53328300.0,86392.0
2017-12-03,7.4e-05,51911200.0,74564.0
2017-12-04,6.5e-05,55942000.0,74381.0
2017-12-05,6.9e-05,48916200.0,20833.0
2017-12-06,6.5e-05,52379500.0,36804.0
2017-12-07,6.5e-05,49556600.0,29662.0
2017-12-08,6.2e-05,48990200.0,172323.0
