date,price,mrkcap,volume
2017-09-24,1.85,255074000.0,16343900.0
2017-09-25,2.37,255726000.0,20214300.0
2017-09-26,1.86,329963000.0,17221400.0
2017-09-27,1.75,259508000.0,13061200.0
2017-09-28,1.75,241833000.0,6194970.0
2017-09-29,1.75,239539000.0,5894070.0
2017-09-30,1.78,241157000.0,2964430.0
2017-10-01,2.15,245657000.0,9558870.0
2017-10-02,1.88,297983000.0,5359390.0
2017-10-03,1.74,260007000.0,4315990.0
2017-10-04,1.69,239513000.0,2997490.0
2017-10-05,1.71,233811000.0,2388130.0
2017-10-06,1.68,236075000.0,3614010.0
2017-10-07,1.73,232691000.0,3343770.0
2017-10-08,1.49,239711000.0,3154360.0
2017-10-09,1.34,205720000.0,4111030.0
2017-10-10,1.41,182709000.0,3865780.0
2017-10-11,1.35,194220000.0,2490110.0
2017-10-12,1.21,187762000.0,3191600.0
2017-10-13,1.14,167655000.0,3801870.0
2017-10-14,1.19,156511000.0,1665910.0
2017-10-15,1.12,165467000.0,1581870.0
2017-10-16,1.12,156550000.0,1708690.0
2017-10-17,1.09,155015000.0,1584850.0
2017-10-18,1.17,145975000.0,2117500.0
2017-10-19,1.11,157638000.0,1718040.0
2017-10-20,1.05,147755000.0,1750820.0
2017-10-21,1.03,139223000.0,1222700.0
2017-10-22,1.03,138967000.0,1008560.0
2017-10-23,0.959859,137817000.0,1818730.0
2017-10-24,1.06,128594000.0,2674010.0
2017-10-25,1.08,143240000.0,1806630.0
2017-10-26,1.05,145662000.0,1273230.0
2017-10-27,1.01,140364000.0,1480770.0
2017-10-28,0.938338,135186000.0,1458920.0
2017-10-29,0.974032,126111000.0,1598860.0
2017-10-30,0.98859,130229000.0,1764840.0
2017-10-31,0.952349,132250000.0,1840830.0
2017-11-01,0.969523,127320000.0,4692730.0
2017-11-02,0.955285,130950000.0,2677130.0
2017-11-03,0.994894,128011000.0,3303530.0
2017-11-04,1.05,133000000.0,2074870.0
2017-11-05,0.99222,140524000.0,1471530.0
2017-11-06,0.975155,132394000.0,1641020.0
2017-11-07,1.01,131068000.0,1827370.0
2017-11-08,1.1,136394000.0,3162230.0
2017-11-09,1.16,145512000.0,3713980.0
2017-11-10,1.19,156232000.0,4331320.0
2017-11-11,1.16,158005000.0,3341260.0
2017-11-12,1.03,154734000.0,4044360.0
2017-11-13,1.1,138259000.0,2533900.0
2017-11-14,1.09,147259000.0,2103320.0
2017-11-15,1.05,146985000.0,2040950.0
2017-11-16,1.09,142054000.0,2711870.0
2017-11-17,1.08,146901000.0,2472740.0
2017-11-18,1.13,143704000.0,2322650.0
2017-11-19,1.11,149694000.0,1865000.0
2017-11-20,1.1,148571000.0,2329790.0
2017-11-21,1.08,146934000.0,2273720.0
2017-11-22,1.11,144697000.0,2462030.0
2017-11-23,1.09,149478000.0,3389830.0
2017-11-24,1.1,147208000.0,3881350.0
2017-11-25,1.13,147403000.0,4326530.0
2017-11-26,1.34,150965000.0,8519500.0
2017-11-27,1.25,180129000.0,7203350.0
2017-11-28,1.19,167139000.0,6956870.0
2017-11-29,1.04,160282000.0,7987200.0
2017-11-30,1.09,141810000.0,6932710.0
2017-12-01,1.1,146004000.0,5718590.0
2017-12-02,1.08,147882000.0,6350120.0
2017-12-03,1.16,146838000.0,14703900.0
2017-12-04,1.29,155822000.0,17105500.0
2017-12-05,1.53,173080000.0,21937700.0
2017-12-06,1.52,204563000.0,18240500.0
2017-12-07,1.3,202709000.0,17081800.0
2017-12-08,1.34,174622000.0,15028900.0
2017-12-09,1.31,179294000.0,11555400.0
2017-12-10,1.22,176624000.0,11857300.0
2017-12-11,1.28,162714000.0,12061600.0
2017-12-12,1.32,172363000.0,12071700.0
2017-12-13,1.29,176673000.0,10077300.0
2017-12-14,1.66,173331000.0,20394800.0
2017-12-15,1.58,223367000.0,12895600.0
2017-12-16,1.73,213736000.0,11477300.0
2017-12-17,2.28,232920000.0,24405200.0
2017-12-18,2.88,307787000.0,28833800.0
2017-12-19,2.72,388760000.0,25007500.0
2017-12-20,2.61,370458000.0,17779200.0
2017-12-21,2.59,349610000.0,16736300.0
2017-12-22,2.15,342930000.0,13412200.0
2017-12-23,2.25,284090000.0,11332800.0
2017-12-24,2.37,302230000.0,11938200.0
2017-12-25,2.41,318226000.0,12568500.0
2017-12-26,2.52,323811000.0,12686800.0
2017-12-27,2.4,338676000.0,10329300.0
2017-12-28,2.42,321090000.0,11990700.0
2017-12-29,2.51,326988000.0,10801600.0
2017-12-30,2.25,334477000.0,10866200.0
2017-12-31,2.62,298681000.0,14615300.0
2018-01-01,3.06,351759000.0,22476900.0
2018-01-02,3.42,412475000.0,27472100.0
2018-01-03,3.59,458889000.0,24648600.0
2018-01-04,3.41,481817000.0,23788600.0
2018-01-05,3.17,450247000.0,31078100.0
2018-01-06,3.98,425567000.0,34950900.0
2018-01-07,5.1,532028000.0,61758700.0
2018-01-08,4.8,681871000.0,41314100.0
2018-01-09,5.74,646479000.0,37437600.0
2018-01-10,5.2,762549000.0,26237500.0
2018-01-11,4.2,693617000.0,20044800.0
2018-01-12,4.63,562806000.0,22352600.0
2018-01-13,4.49,620675000.0,25910900.0
2018-01-14,4.18,603921000.0,20195300.0
2018-01-15,4.65,559132000.0,34848700.0
2018-01-16,3.44,622180000.0,25537400.0
2018-01-17,3.19,458356000.0,21311900.0
2018-01-18,3.25,431197000.0,25672400.0
2018-01-19,4.01,432118000.0,55232300.0
2018-01-20,4.44,543672000.0,36904700.0
2018-01-21,3.63,595237000.0,43106800.0
