date,price,mrkcap,volume
2016-04-06,3.77,0.0,222502.0
2016-04-07,4.99,0.0,203863.0
2016-04-08,4.53,0.0,468420.0
2016-04-09,2.44,0.0,272260.0
2016-04-10,1.37,0.0,242123.0
2016-04-11,3.13,0.0,163666.0
2016-04-12,1.23,0.0,117448.0
2016-04-13,1.29,0.0,85572.0
2016-04-14,1.19,0.0,114725.0
2016-04-15,1.2,0.0,98647.0
2016-04-16,1.23,0.0,57511.0
2016-04-17,1.66,0.0,36480.0
2016-04-18,1.02,0.0,48480.0
2016-04-19,1.85,0.0,26391.0
2016-04-20,1.33,0.0,64546.0
2016-04-21,1.65,0.0,46650.0
2016-04-22,1.82,0.0,38998.0
2016-04-23,1.27,0.0,182681.0
2016-04-24,1.41,0.0,54516.0
2016-04-25,0.773489,0.0,30326.0
2016-04-26,0.729231,0.0,16705.0
2016-04-27,0.623225,0.0,14913.0
2016-04-28,0.738716,0.0,6142.0
2016-04-29,0.765815,0.0,14024.0
2016-04-30,1.27,0.0,66785.0
2016-05-01,0.70878,0.0,19716.0
2016-05-02,1.18,0.0,38309.0
2016-05-03,0.725287,0.0,26812.0
2016-05-04,1.52,0.0,51102.0
2016-05-05,1.42,0.0,34428.0
2016-05-06,0.814017,0.0,15278.0
2016-05-07,0.696178,0.0,13246.0
2016-05-08,0.790503,0.0,13948.0
2016-05-09,0.761164,0.0,10017.0
2016-05-10,0.833555,0.0,10911.0
2016-05-11,1.22,0.0,34101.0
2016-05-12,0.81667,0.0,10514.0
2016-05-13,0.788618,0.0,12820.0
2016-05-14,0.824642,0.0,10083.0
2016-05-15,0.829394,0.0,9419.0
2016-05-16,0.784433,0.0,6305.0
2016-05-17,0.750805,0.0,12167.0
2016-05-18,1.89,0.0,50865.0
2016-05-19,1.43,0.0,46746.0
2016-05-20,3.41,0.0,57689.0
2016-05-21,4.08,0.0,66490.0
2016-05-22,2.74,0.0,105457.0
2016-05-23,2.95,0.0,108656.0
2016-05-24,0.560052,0.0,439909.0
2016-05-25,0.278525,0.0,7311180.0
2016-05-26,0.50095,26966400.0,13981800.0
2016-05-27,0.385324,51949300.0,13013200.0
2016-05-28,0.347767,38812800.0,7676530.0
2016-05-29,0.377337,35364200.0,4810200.0
2016-05-30,0.350992,38014900.0,2470160.0
2016-05-31,0.312831,35014000.0,3073130.0
2016-06-01,0.337991,31452000.0,2112400.0
2016-06-02,0.330827,33635100.0,1258510.0
2016-06-03,0.40941,33061700.0,3187760.0
2016-06-04,0.4439,41022000.0,3251570.0
2016-06-05,0.489628,44641800.0,4247850.0
2016-06-06,0.452067,48204200.0,2878930.0
2016-06-07,0.419945,45222800.0,2277500.0
2016-06-08,0.47565,41946600.0,2980240.0
2016-06-09,0.461552,47378100.0,1844730.0
2016-06-10,0.455177,46116000.0,1426460.0
2016-06-11,0.45031,45748600.0,1298720.0
2016-06-12,0.421871,45331700.0,4868900.0
2016-06-13,0.469521,42390700.0,3322740.0
2016-06-14,0.468245,46595900.0,2677630.0
2016-06-15,0.46101,47022800.0,1291530.0
2016-06-16,0.455011,46338900.0,2348370.0
2016-06-17,0.436197,45580900.0,4509350.0
2016-06-18,0.348261,43518500.0,2777730.0
2016-06-19,0.363063,34812400.0,1392140.0
2016-06-20,0.323785,36343200.0,1692310.0
2016-06-21,0.328391,32308100.0,1779370.0
2016-06-22,0.351084,32858800.0,3608690.0
2016-06-23,0.358963,34807100.0,1644910.0
2016-06-24,0.380581,36148300.0,2135610.0
2016-06-25,0.354808,37901400.0,1435150.0
2016-06-26,0.323548,35712500.0,750518.0
2016-06-27,0.307191,32318400.0,973053.0
2016-06-28,0.290045,30889400.0,1291760.0
2016-06-29,0.302058,28818900.0,822309.0
2016-06-30,0.311289,30306500.0,1019150.0
2016-07-01,0.32422,30741700.0,564870.0
2016-07-02,0.310572,32661000.0,570125.0
2016-07-03,0.301406,31110000.0,407208.0
2016-07-04,0.306661,30273100.0,419023.0
2016-07-05,0.290506,30543000.0,1223650.0
2016-07-06,0.286694,28943300.0,714117.0
2016-07-07,0.274167,28682100.0,578750.0
2016-07-08,0.281619,27422300.0,658829.0
2016-07-09,0.280532,28159600.0,380355.0
2016-07-10,0.295689,28036100.0,535278.0
2016-07-11,0.334078,29631000.0,2383010.0
2016-07-12,0.314506,33436800.0,993582.0
2016-07-13,0.316147,31622800.0,522491.0
2016-07-14,0.328441,31567800.0,679860.0
2016-07-15,0.327406,32896200.0,418795.0
2016-07-16,0.322902,32765200.0,452985.0
2016-07-17,0.315462,32246300.0,432248.0
2016-07-18,0.309005,31575300.0,523435.0
2016-07-19,0.314261,30705200.0,472702.0
2016-07-20,0.311413,31437800.0,522077.0
2016-07-21,0.318022,31173600.0,473950.0
2016-07-22,0.308312,31860900.0,999888.0
2016-07-23,0.311837,30836300.0,413449.0
2016-07-24,0.287238,31254100.0,1022570.0
2016-07-25,0.292334,28764200.0,347584.0
2016-07-26,0.286238,29465500.0,1755040.0
2016-07-27,0.277287,28247900.0,891245.0
2016-07-28,0.279725,28056900.0,922646.0
2016-07-29,0.283074,27983800.0,639088.0
2016-07-30,0.280692,28318800.0,372036.0
2016-07-31,0.269087,28067800.0,610372.0
2016-08-01,0.236207,26907500.0,948289.0
2016-08-02,0.188918,24165500.0,1625750.0
2016-08-03,0.22071,19116600.0,1685460.0
2016-08-04,0.230607,21951900.0,844272.0
2016-08-05,0.226668,23060100.0,453612.0
2016-08-06,0.231889,22664000.0,464599.0
2016-08-07,0.223336,23091200.0,576337.0
2016-08-08,0.225759,22335900.0,426308.0
2016-08-09,0.225511,22576100.0,573920.0
2016-08-10,0.263172,22517100.0,1901840.0
2016-08-11,0.246657,26196600.0,820562.0
2016-08-12,0.251822,24597500.0,660290.0
2016-08-13,0.258177,25112000.0,405034.0
2016-08-14,0.239174,25752000.0,320443.0
2016-08-15,0.255094,23925800.0,491626.0
2016-08-16,0.254928,25515900.0,367910.0
2016-08-17,0.268315,25598600.0,534461.0
2016-08-18,0.303382,26820300.0,2061090.0
2016-08-19,0.295615,30265700.0,1353530.0
2016-08-20,0.284063,29649200.0,571840.0
2016-08-21,0.311191,28396900.0,709913.0
2016-08-22,0.288832,31468700.0,853216.0
2016-08-23,0.273221,28672300.0,1423260.0
2016-08-24,0.262965,27085200.0,760046.0
2016-08-25,0.258311,26300300.0,466409.0
2016-08-26,0.267094,25827100.0,499319.0
2016-08-27,0.260085,26736200.0,390922.0
2016-08-28,0.258404,26273600.0,443494.0
2016-08-29,0.267988,25713000.0,513229.0
2016-08-30,0.253725,26719700.0,436321.0
2016-08-31,0.253047,25323400.0,429425.0
2016-09-01,0.246301,25370400.0,472887.0
2016-09-02,0.249354,24646000.0,387282.0
2016-09-03,0.243732,24874200.0,566146.0
2016-09-04,0.243393,24349000.0,509761.0
2016-09-05,0.250393,24377900.0,785260.0
2016-09-06,0.252891,25012600.0,466873.0
2016-09-07,0.257372,25288300.0,563511.0
2016-09-08,0.254201,25743700.0,393796.0
2016-09-09,0.256735,25343200.0,395434.0
2016-09-10,0.25199,25627700.0,412311.0
2016-09-11,0.244939,25302400.0,323685.0
2016-09-12,0.26851,24457800.0,784795.0
2016-09-13,0.26255,26828900.0,667645.0
2016-09-14,0.270973,26261600.0,380140.0
2016-09-15,0.252934,27116500.0,319127.0
2016-09-16,0.258762,25415400.0,327073.0
2016-09-17,0.257226,25877800.0,204630.0
2016-09-18,0.255169,25790700.0,328572.0
2016-09-19,0.253032,25573900.0,248429.0
2016-09-20,0.260103,25271600.0,222061.0
2016-09-21,0.249115,26025000.0,598551.0
2016-09-22,0.246458,25017000.0,327202.0
2016-09-23,0.24303,24611400.0,290931.0
2016-09-24,0.246655,24380900.0,153084.0
2016-09-25,0.246723,24647000.0,85759.0
2016-09-26,0.2375,24685800.0,359360.0
2016-09-27,0.236408,23922200.0,317051.0
2016-09-28,0.238588,23642000.0,226676.0
2016-09-29,0.237278,23855800.0,272689.0
2016-09-30,0.238563,23746500.0,189587.0
2016-10-01,0.233642,23748200.0,237068.0
2016-10-02,0.225496,23346400.0,259666.0
2016-10-03,0.239255,22553900.0,227447.0
2016-10-04,0.233913,23930600.0,255553.0
2016-10-05,0.229213,23384400.0,288399.0
2016-10-06,0.224222,22935700.0,338222.0
2016-10-07,0.223432,22415500.0,276562.0
2016-10-08,0.219517,22357400.0,285140.0
2016-10-09,0.215135,21926700.0,176536.0
2016-10-10,0.215994,21459100.0,311046.0
2016-10-11,0.211765,21614100.0,322079.0
2016-10-12,0.207292,21100200.0,339619.0
2016-10-13,0.202016,20732800.0,220006.0
