date,price,mrkcap,volume
2015-01-25,0.004313,0.0,7268.0
2015-01-26,0.002289,0.0,2247.0
2015-01-27,0.002801,0.0,1530.0
2015-01-28,0.001874,0.0,608.0
2015-01-29,0.002034,0.0,636.0
2015-01-30,0.001696,0.0,682.0
2015-01-31,0.001918,0.0,953.0
2015-02-01,0.001573,0.0,976.0
2015-02-02,0.001584,0.0,291.0
2015-02-03,0.001625,0.0,160.0
2015-02-04,0.001523,0.0,133.0
2015-02-05,0.001303,0.0,619.0
2015-02-06,0.001285,0.0,329.0
2015-02-07,0.001362,0.0,252.0
2015-02-08,0.0012,0.0,301.0
2015-02-09,0.001268,0.0,807.0
2015-02-10,0.00124,0.0,139.0
2015-02-11,0.001063,0.0,87.0
2015-02-12,0.001109,0.0,26.0
2015-02-13,0.001295,0.0,221.0
2015-02-14,0.001801,0.0,1170.0
2015-02-15,0.002149,0.0,7401.0
2015-02-16,0.001581,0.0,1084.0
2015-02-17,0.001854,0.0,458.0
2015-02-18,0.002344,22398.0,425.0
2015-02-19,0.003753,28487.0,3744.0
2015-02-20,0.004632,45863.0,4963.0
2015-02-21,0.004184,56939.0,2553.0
2015-02-22,0.004056,51753.0,3628.0
2015-02-23,0.003282,50476.0,2006.0
2015-02-24,0.00312,41099.0,908.0
2015-02-25,0.00203,39305.0,942.0
2015-02-26,0.002151,25606.0,532.0
2015-02-27,0.002218,27149.0,201.0
2015-02-28,0.002731,28416.0,142.0
2015-03-01,0.002667,35179.0,82.0
2015-03-02,0.002205,34569.0,304.0
2015-03-03,0.001786,28534.0,695.0
2015-03-04,0.001778,23160.0,144.0
2015-03-05,0.001795,23025.0,106.0
2015-03-06,0.002168,23231.0,190.0
2015-03-07,0.001826,28072.0,90.0
2015-03-08,0.001756,23695.0,457.0
2015-03-09,0.002004,22808.0,961.0
2015-03-10,0.001596,26011.0,532.0
2015-03-11,0.001547,20679.0,20.0
2015-03-12,0.001492,20045.0,76.0
2015-03-13,0.001204,19337.0,322.0
2015-03-14,0.001615,15566.0,316.0
2015-03-15,0.002578,20911.0,1593.0
2015-03-16,0.002912,35905.0,1254.0
2015-03-17,0.002824,40870.0,351.0
2015-03-18,0.001738,39772.0,848.0
2015-03-19,0.001753,24598.0,219.0
2015-03-20,0.002086,24988.0,93.0
2015-03-21,0.00181,29863.0,109.0
2015-03-22,0.001774,26034.0,66.0
2015-03-23,0.001552,25649.0,1029.0
2015-03-24,0.001547,22548.0,259.0
2015-03-25,0.001278,22768.0,115.0
2015-03-26,0.002108,18756.0,1270.0
2015-03-27,0.001527,31079.0,381.0
2015-03-28,0.001545,22617.0,960.0
2015-03-29,0.00133,22986.0,642.0
2015-03-30,0.001436,19906.0,70.0
2015-03-31,0.001248,21565.0,498.0
2015-04-01,0.001476,18838.0,472.0
2015-04-02,0.00124,22371.0,544.0
2015-04-03,0.001356,18892.0,66.0
2015-04-04,0.001263,20744.0,63.0
2015-04-05,0.001436,19429.0,76.0
2015-04-06,0.001318,23112.0,385.0
2015-04-07,0.001461,20435.0,47.0
2015-04-08,0.001431,22753.0,259.0
2015-04-09,0.001443,22371.0,675.0
2015-04-10,0.001256,22680.0,165.0
2015-04-11,0.001424,19825.0,64.0
2015-04-12,0.001441,19769.0,778.0
2015-04-13,0.001494,22925.0,445.0
2015-04-14,0.00149,23909.0,232.0
2015-04-15,0.001634,23932.0,312.0
2015-04-16,0.001973,26697.0,3874.0
2015-04-17,0.001565,31886.0,1726.0
2015-04-18,0.00166,25454.0,245.0
2015-04-19,0.001592,27126.0,444.0
2015-04-20,0.001348,26114.0,290.0
2015-04-21,0.002301,22203.0,1449.0
2015-04-22,0.0021,38118.0,1991.0
2015-04-23,0.002113,34912.0,2002.0
2015-04-27,0.002199,33635.0,3156.0
2015-04-28,0.001876,38823.0,423.0
2015-04-29,0.001844,31901.0,856.0
2015-04-30,0.001851,31461.0,182.0
2015-05-01,0.001662,31753.0,753.0
2015-05-02,0.001464,28644.0,152.0
2015-05-03,0.001445,25293.0,45.0
2015-05-04,0.001501,25065.0,186.0
2015-05-05,0.001665,26127.0,320.0
2015-05-06,0.001381,29106.0,180.0
2015-05-07,0.001986,24226.0,1361.0
2015-05-08,0.002168,34980.0,4570.0
2015-05-09,0.001949,42074.0,176.0
2015-05-10,0.001778,34600.0,415.0
2015-05-11,0.001734,31683.0,49.0
