date,price,mrkcap,volume
2017-07-14,0.58248,0.0,750698.0
2017-07-15,0.433351,0.0,1552730.0
2017-07-16,0.384906,42380400.0,1743630.0
2017-07-17,0.582786,37524100.0,4273090.0
2017-07-18,0.759819,56453100.0,8394650.0
2017-07-19,0.583911,74647300.0,4236020.0
2017-07-20,0.659447,58605700.0,3376440.0
2017-07-21,0.753032,65844800.0,2140420.0
2017-07-22,0.878662,72951200.0,3596130.0
2017-07-23,1.53,86413600.0,15198100.0
2017-07-24,1.52,148581000.0,12526000.0
2017-07-25,1.23,150667000.0,8132390.0
2017-07-26,1.21,121110000.0,4740910.0
2017-07-27,1.38,118718000.0,5379280.0
2017-07-28,1.19,135475000.0,5438700.0
2017-07-29,1.28,116968000.0,2651230.0
2017-07-30,1.21,124645000.0,1749290.0
2017-07-31,1.23,118309000.0,2153100.0
2017-08-01,1.33,120415000.0,4360060.0
2017-08-02,1.38,131707000.0,3708080.0
2017-08-03,1.96,135528000.0,18348800.0
2017-08-04,2.76,192003000.0,44051500.0
2017-08-05,3.61,274109000.0,95593700.0
2017-08-06,2.75,356183000.0,39669900.0
2017-08-07,3.15,265138000.0,34417900.0
2017-08-08,3.61,309766000.0,49778700.0
2017-08-09,3.45,355440000.0,24783900.0
2017-08-10,5.93,335183000.0,234693000.0
2017-08-11,7.23,586021000.0,200287000.0
2017-08-12,6.19,707779000.0,87590300.0
2017-08-13,6.94,607772000.0,128909000.0
2017-08-14,7.02,676804000.0,85191300.0
2017-08-15,6.69,682506000.0,67045700.0
2017-08-16,8.87,655537000.0,204580000.0
2017-08-17,8.4,873548000.0,131488000.0
2017-08-18,7.34,825591000.0,104224000.0
2017-08-19,7.8,718510000.0,70997400.0
2017-08-20,8.44,762542000.0,74687700.0
2017-08-21,7.67,830536000.0,71569400.0
2017-08-22,7.62,753880000.0,41423400.0
2017-08-23,8.24,748515000.0,64455600.0
2017-08-24,8.37,806267000.0,31284200.0
2017-08-25,8.27,823620000.0,24205300.0
2017-08-26,8.28,812289000.0,25661900.0
2017-08-27,8.33,815412000.0,22915000.0
2017-08-28,8.59,819005000.0,52390300.0
2017-08-29,9.46,843249000.0,86155000.0
2017-08-30,11.07,932958000.0,194613000.0
2017-08-31,11.74,1098470000.0,89710200.0
2017-09-01,11.97,1153390000.0,91962400.0
2017-09-02,10.8,1178610000.0,93561000.0
2017-09-03,10.57,1060760000.0,68616800.0
2017-09-04,8.78,1037440000.0,159979000.0
2017-09-05,10.98,852870000.0,111430000.0
2017-09-06,11.64,1077300000.0,95001000.0
2017-09-07,12.87,1145440000.0,153192000.0
2017-09-08,11.45,1268790000.0,99091800.0
2017-09-09,12.22,1118990000.0,63245300.0
2017-09-10,11.4,1207860000.0,53265800.0
2017-09-11,11.33,1122960000.0,37733800.0
2017-09-12,11.59,1117370000.0,130591000.0
2017-09-13,10.61,1148450000.0,85896500.0
2017-09-14,8.08,1040220000.0,95558500.0
2017-09-15,9.95,798813000.0,156528000.0
2017-09-16,9.93,979204000.0,66155100.0
2017-09-17,9.87,973696000.0,40154600.0
2017-09-18,10.98,971499000.0,54086300.0
2017-09-19,9.92,1081420000.0,38392200.0
2017-09-20,9.11,975691000.0,36072700.0
2017-09-21,8.12,897056000.0,51911500.0
2017-09-22,8.65,799239000.0,42277500.0
2017-09-23,9.03,851587000.0,28436100.0
2017-09-24,8.66,885388000.0,19730500.0
2017-09-25,10.0,851863000.0,59857600.0
2017-09-26,9.76,984356000.0,26920700.0
2017-09-27,10.34,961863000.0,38915800.0
2017-09-28,10.49,1017090000.0,66693200.0
2017-09-29,9.75,1029050000.0,51306900.0
2017-09-30,10.12,957899000.0,26871400.0
2017-10-01,9.82,994233000.0,21494500.0
2017-10-02,9.2,965225000.0,36673900.0
2017-10-03,9.24,903903000.0,35595500.0
2017-10-04,8.66,909963000.0,19933100.0
2017-10-05,8.8,852239000.0,19715100.0
2017-10-06,8.66,866972000.0,13957500.0
2017-10-07,8.54,851803000.0,18207700.0
2017-10-08,7.7,839543000.0,27120900.0
2017-10-09,7.5,765067000.0,34823600.0
2017-10-10,8.09,736231000.0,27542200.0
2017-10-11,9.26,798713000.0,57741200.0
2017-10-12,8.2,910544000.0,49996900.0
2017-10-13,8.3,805549000.0,33908900.0
2017-10-14,8.03,816802000.0,20284600.0
2017-10-15,7.97,789379000.0,23508300.0
2017-10-16,7.85,786681000.0,19951300.0
2017-10-17,7.99,772486000.0,23177500.0
2017-10-18,7.84,783502000.0,20915200.0
2017-10-19,7.92,769045000.0,14064200.0
2017-10-20,7.31,776825000.0,20554400.0
2017-10-21,7.37,718401000.0,19448800.0
2017-10-22,7.67,724177000.0,19588000.0
2017-10-23,7.61,752139000.0,17684200.0
2017-10-24,8.13,746181000.0,54151300.0
2017-10-25,7.62,798130000.0,20363000.0
2017-10-26,7.65,752636000.0,19134300.0
2017-10-27,7.46,751745000.0,28704900.0
2017-10-28,7.18,736331000.0,17242600.0
2017-10-29,7.3,703486000.0,18076000.0
2017-10-30,7.25,715973000.0,14224900.0
2017-10-31,6.84,710488000.0,21797300.0
2017-11-01,6.05,671068000.0,37953700.0
2017-11-02,6.23,594839000.0,55264500.0
2017-11-03,6.73,612383000.0,27548300.0
2017-11-04,6.45,660838000.0,16963100.0
2017-11-05,6.29,633214000.0,12819400.0
2017-11-06,6.48,617414000.0,21223900.0
2017-11-07,6.33,665398000.0,17428900.0
2017-11-08,7.7,646493000.0,83658200.0
2017-11-09,8.03,782537000.0,53112900.0
2017-11-10,7.01,820786000.0,43885700.0
2017-11-11,7.3,713386000.0,26845400.0
2017-11-12,6.59,743945000.0,40913300.0
2017-11-13,7.57,673886000.0,45628000.0
2017-11-14,7.84,770372000.0,25075600.0
