date,price,mrkcap,volume
2017-07-11,3.33,0.0,2704070.0
2017-07-12,5.51,0.0,3055770.0
2017-07-13,4.69,0.0,3630010.0
2017-07-15,1.45,66477500.0,1832030.0
2017-07-16,1.38,54749200.0,2126350.0
2017-07-17,2.53,50957100.0,1840040.0
2017-07-18,2.46,93480300.0,2329580.0
2017-07-19,1.96,90603800.0,1044880.0
2017-07-20,2.36,73135200.0,505556.0
2017-07-21,2.39,88296300.0,661561.0
2017-07-22,2.68,88377300.0,358007.0
2017-07-23,2.58,99200600.0,437422.0
2017-07-24,2.44,95541800.0,991648.0
2017-07-25,2.24,90408600.0,434991.0
2017-07-26,2.32,82283000.0,533922.0
2017-07-27,2.54,84935200.0,619044.0
2017-07-28,2.62,94175700.0,993253.0
2017-07-29,2.84,95974800.0,945852.0
2017-07-30,2.79,105025000.0,507801.0
2017-07-31,3.27,103787000.0,964834.0
2017-08-01,3.64,121197000.0,811061.0
2017-08-02,3.39,134685000.0,492153.0
2017-08-03,3.64,125461000.0,503479.0
2017-08-04,3.96,134691000.0,1064530.0
2017-08-05,4.09,146422000.0,641941.0
2017-08-06,4.62,152277000.0,450571.0
2017-08-07,6.05,170601000.0,1441870.0
2017-08-08,5.42,224461000.0,2002390.0
2017-08-09,5.94,201249000.0,782146.0
2017-08-10,6.43,219131000.0,979250.0
2017-08-11,6.14,237195000.0,959727.0
2017-08-12,6.06,226329000.0,894071.0
2017-08-13,5.54,223379000.0,516448.0
2017-08-14,5.22,203710000.0,924743.0
2017-08-15,4.7,193088000.0,590298.0
2017-08-16,4.81,194545000.0,735244.0
2017-08-17,5.57,198516000.0,649644.0
2017-08-18,5.37,229191000.0,702786.0
2017-08-19,4.83,221282000.0,585845.0
2017-08-20,4.53,198526000.0,335168.0
2017-08-21,4.33,186176000.0,658417.0
2017-08-22,3.88,173102000.0,415849.0
2017-08-23,3.52,159223000.0,415283.0
2017-08-24,4.42,145764000.0,758569.0
2017-08-25,4.42,183102000.0,430544.0
2017-08-26,3.77,182445000.0,454791.0
2017-08-27,3.9,157311000.0,353973.0
2017-08-28,3.85,161006000.0,449384.0
2017-08-29,3.89,159088000.0,398299.0
2017-08-30,3.87,160273000.0,531823.0
2017-08-31,3.64,159248000.0,337862.0
2017-09-01,4.06,150097000.0,1464360.0
2017-09-02,3.75,167942000.0,763729.0
2017-09-03,3.85,154886000.0,565324.0
2017-09-04,3.62,160112000.0,476314.0
2017-09-05,3.92,149649000.0,364357.0
2017-09-06,4.17,162184000.0,410924.0
2017-09-07,3.93,171906000.0,403291.0
2017-09-08,3.56,162023000.0,370638.0
2017-09-09,3.67,138438000.0,454427.0
2017-09-10,3.5,151029000.0,252076.0
2017-09-11,3.29,144795000.0,374879.0
2017-09-12,3.19,135082000.0,505448.0
2017-09-13,3.29,133103000.0,391322.0
2017-09-14,2.64,135399000.0,295268.0
2017-09-15,3.01,109206000.0,337136.0
