date,price,mrkcap,volume
2017-05-24,6.19,0.0,11221600.0
2017-05-25,4.66,0.0,6211020.0
2017-05-26,4.1,0.0,5116020.0
2017-05-27,4.53,0.0,7046840.0
2017-05-28,4.62,0.0,4353380.0
2017-05-29,4.6,0.0,2205420.0
2017-05-30,4.65,0.0,2836480.0
2017-05-31,4.86,0.0,3011070.0
2017-06-01,7.79,0.0,28193200.0
2017-06-02,13.46,0.0,54232400.0
2017-06-03,12.54,0.0,39565100.0
2017-06-04,12.15,0.0,15253900.0
2017-06-05,11.17,0.0,10290000.0
2017-06-06,11.5,0.0,11135000.0
2017-06-07,10.97,0.0,6104140.0
2017-06-08,12.35,0.0,12978300.0
2017-06-09,11.74,0.0,14694100.0
2017-06-10,11.33,0.0,14370200.0
2017-06-11,11.76,0.0,11384700.0
2017-06-12,10.96,0.0,8663550.0
2017-06-13,12.42,0.0,16198200.0
2017-06-14,11.77,0.0,18671800.0
2017-06-15,11.11,0.0,13740900.0
2017-06-16,11.29,0.0,7179610.0
2017-06-17,11.25,0.0,6961310.0
2017-06-18,10.58,0.0,5475110.0
2017-06-19,10.59,0.0,12893100.0
2017-06-20,11.49,0.0,22123200.0
2017-06-21,11.83,0.0,10464200.0
2017-06-22,12.1,0.0,16740600.0
2017-06-23,16.99,0.0,66737400.0
2017-06-24,16.35,0.0,34660100.0
2017-06-25,14.92,0.0,22702400.0
2017-06-26,12.61,0.0,25803900.0
2017-06-27,14.47,0.0,42563100.0
2017-06-28,13.83,0.0,40650500.0
2017-06-29,12.48,0.0,18516000.0
2017-06-30,12.03,0.0,14022600.0
2017-07-01,10.39,0.0,10832000.0
2017-07-02,9.45,0.0,23967300.0
2017-07-03,9.19,0.0,15403500.0
2017-07-04,9.27,0.0,8178690.0
2017-07-05,8.3,0.0,8151290.0
2017-07-06,8.75,0.0,13670300.0
2017-07-07,6.87,0.0,7176910.0
2017-07-08,6.86,0.0,12481200.0
2017-07-09,6.36,0.0,6985260.0
2017-07-10,5.38,0.0,5648270.0
2017-07-11,4.82,0.0,11515200.0
2017-07-12,5.59,0.0,11808500.0
2017-07-13,5.11,288266000.0,8076010.0
2017-07-14,4.53,260726000.0,6385700.0
2017-07-15,3.88,231785000.0,6403170.0
2017-07-16,3.93,200412000.0,5467430.0
2017-07-17,4.38,199276000.0,7531300.0
2017-07-18,5.18,224792000.0,16788400.0
2017-07-19,5.62,264087000.0,29526300.0
2017-07-20,7.59,289993000.0,33148900.0
2017-07-21,7.84,399824000.0,48210600.0
2017-07-22,7.52,398441000.0,16650500.0
2017-07-23,6.64,385277000.0,23752700.0
2017-07-24,7.26,339927000.0,12601300.0
2017-07-25,6.13,372639000.0,22782500.0
2017-07-26,6.26,362203000.0,20824500.0
2017-07-27,6.21,370867000.0,10757800.0
2017-07-28,5.75,367403000.0,7599310.0
2017-07-29,5.78,342217000.0,5188990.0
2017-07-30,5.53,340554000.0,3168030.0
2017-07-31,6.12,326029000.0,13123400.0
2017-08-01,6.49,361165000.0,20864300.0
2017-08-02,6.43,387234000.0,11978000.0
2017-08-03,7.65,378741000.0,30278900.0
2017-08-04,8.22,452969000.0,31879600.0
2017-08-05,9.38,484803000.0,42482900.0
2017-08-06,10.07,550855000.0,54977800.0
2017-08-07,12.65,591790000.0,95630200.0
2017-08-08,11.5,746010000.0,63155600.0
2017-08-09,12.55,677866000.0,52016000.0
2017-08-10,15.77,740715000.0,133259000.0
2017-08-11,14.73,922433000.0,91215900.0
2017-08-12,13.9,868962000.0,59321200.0
2017-08-13,15.17,821280000.0,75650500.0
2017-08-14,15.06,890836000.0,103750000.0
2017-08-15,14.68,885415000.0,62353100.0
2017-08-16,14.35,865463000.0,59126000.0
2017-08-17,13.06,847017000.0,50489100.0
2017-08-18,11.63,772302000.0,43226400.0
2017-08-19,11.64,685316000.0,54327300.0
2017-08-20,11.79,680885000.0,40638800.0
2017-08-21,11.23,696434000.0,29380800.0
2017-08-22,11.06,660585000.0,25086300.0
2017-08-23,11.9,651839000.0,36722000.0
2017-08-24,13.78,700167000.0,72955500.0
2017-08-25,13.32,811035000.0,26327100.0
2017-08-26,15.41,782374000.0,88172500.0
2017-08-27,15.7,909788000.0,56474400.0
2017-08-28,16.24,923722000.0,82850200.0
2017-08-29,19.15,960486000.0,216784000.0
2017-08-30,16.84,1124200000.0,145512000.0
2017-08-31,17.3,986295000.0,76872500.0
2017-09-01,18.26,1020980000.0,73618500.0
2017-09-02,16.39,1077370000.0,123479000.0
2017-09-03,15.29,967971000.0,98105400.0
2017-09-04,10.98,902407000.0,161203000.0
2017-09-05,11.71,653177000.0,218917000.0
2017-09-06,11.4,691921000.0,141347000.0
2017-09-07,14.74,672888000.0,195986000.0
2017-09-08,13.5,869878000.0,294169000.0
2017-09-09,13.32,790322000.0,99008100.0
2017-09-10,12.78,783150000.0,172687000.0
2017-09-11,14.28,745787000.0,165283000.0
2017-09-12,13.51,848364000.0,156187000.0
2017-09-13,11.94,793825000.0,185348000.0
2017-09-14,7.6,704415000.0,137040000.0
2017-09-15,8.47,455212000.0,242984000.0
2017-09-16,8.25,500809000.0,97992200.0
2017-09-17,8.27,482927000.0,69847200.0
2017-09-18,9.62,490417000.0,167586000.0
2017-09-19,8.91,569633000.0,66250600.0
2017-09-20,8.79,526414000.0,38916900.0
2017-09-21,7.38,517612000.0,38239000.0
2017-09-22,7.68,433000000.0,42861600.0
2017-09-23,8.11,454162000.0,40760800.0
2017-09-24,8.04,477945000.0,28266800.0
2017-09-25,9.36,473818000.0,82385100.0
2017-09-26,9.34,553598000.0,104988000.0
2017-09-27,9.9,552811000.0,59847700.0
2017-09-28,9.93,586983000.0,95333300.0
2017-09-29,9.77,587845000.0,79526300.0
2017-09-30,11.59,576371000.0,141320000.0
2017-10-01,12.34,683566000.0,162762000.0
2017-10-02,11.88,729062000.0,69789000.0
2017-10-03,12.12,702872000.0,95756400.0
2017-10-04,11.63,717223000.0,77387000.0
2017-10-05,11.86,684358000.0,67610800.0
2017-10-06,11.69,700544000.0,23341500.0
2017-10-07,11.94,688284000.0,19498800.0
2017-10-08,11.14,705791000.0,34305900.0
2017-10-09,12.07,657304000.0,57974000.0
2017-10-10,12.08,710536000.0,50232800.0
2017-10-11,12.13,710230000.0,28771600.0
2017-10-12,11.29,715782000.0,31335300.0
2017-10-13,11.25,666714000.0,44760500.0
2017-10-14,10.63,664129000.0,17709400.0
2017-10-15,10.44,627948000.0,22057700.0
2017-10-16,11.49,616895000.0,37568400.0
2017-10-17,12.05,677311000.0,57046400.0
2017-10-18,11.49,710326000.0,53960300.0
2017-10-19,12.07,688986000.0,49308300.0
2017-10-20,11.3,890682000.0,304281000.0
2017-10-21,10.91,828306000.0,56075000.0
2017-10-22,10.63,807214000.0,33890300.0
2017-10-23,9.96,779244000.0,50654800.0
2017-10-24,10.76,733399000.0,118813000.0
2017-10-25,10.65,793779000.0,48104100.0
2017-10-26,10.57,784784000.0,26461700.0
2017-10-27,10.3,777594000.0,27344700.0
2017-10-28,10.21,760135000.0,23588200.0
2017-10-29,10.42,750443000.0,40119600.0
2017-10-30,10.39,765031000.0,21781900.0
2017-10-31,10.45,764029000.0,43306600.0
2017-11-01,9.93,766698000.0,26591700.0
2017-11-02,9.8,732691000.0,54501600.0
2017-11-03,10.38,719701000.0,55018600.0
2017-11-04,10.05,759110000.0,35477100.0
2017-11-05,10.13,739113000.0,49288500.0
2017-11-06,10.44,745802000.0,116937000.0
2017-11-07,11.21,760320000.0,122951000.0
2017-11-08,11.91,823231000.0,196034000.0
2017-11-09,11.94,874753000.0,116434000.0
2017-11-10,11.29,881364000.0,131906000.0
2017-11-11,11.65,832533000.0,113139000.0
2017-11-12,11.11,853805000.0,116105000.0
2017-11-13,11.42,817728000.0,73428300.0
2017-11-14,11.6,840602000.0,73833600.0
2017-11-15,11.72,849764000.0,43757700.0
2017-11-16,12.89,860619000.0,317008000.0
2017-11-17,13.37,945173000.0,109115000.0
2017-11-18,14.02,996077000.0,116168000.0
2017-11-19,14.03,1032340000.0,61181300.0
2017-11-20,14.77,1031670000.0,160773000.0
2017-11-21,14.15,1090630000.0,158550000.0
2017-11-22,14.2,1035430000.0,91778300.0
2017-11-23,13.95,1047380000.0,116380000.0
2017-11-24,14.43,1027570000.0,153144000.0
2017-11-25,14.49,1059050000.0,143624000.0
2017-11-26,14.79,1068960000.0,115807000.0
2017-11-27,14.79,1082680000.0,141497000.0
2017-11-28,15.49,1087670000.0,248416000.0
2017-11-29,12.45,1137980000.0,169681000.0
2017-11-30,12.95,920799000.0,116134000.0
2017-12-01,13.16,948229000.0,77540700.0
2017-12-02,13.0,969375000.0,106410000.0
2017-12-03,13.15,959947000.0,101683000.0
2017-12-04,13.62,968910000.0,139016000.0
2017-12-05,13.08,1009240000.0,106446000.0
2017-12-06,11.96,967196000.0,136931000.0
