date,price,mrkcap,volume
2017-09-29,4.34,53970200.0,4174650.0
2017-09-30,5.68,32679300.0,6410870.0
2017-10-01,7.28,191963000.0,15741400.0
2017-10-02,6.53,247626000.0,13543300.0
2017-10-03,5.41,238819000.0,5546400.0
2017-10-04,4.24,198035000.0,4136630.0
2017-10-05,4.19,232177000.0,3646930.0
2017-10-06,4.05,230475000.0,2282420.0
2017-10-07,3.33,217867000.0,3388420.0
2017-10-08,3.47,182975000.0,2501230.0
2017-10-09,3.07,188748000.0,2942420.0
2017-10-10,3.32,166755000.0,2384720.0
2017-10-11,3.83,181908000.0,3229530.0
2017-10-12,3.59,210884000.0,2160950.0
2017-10-13,3.26,195851000.0,2599040.0
2017-10-14,2.95,178682000.0,1515720.0
2017-10-15,2.96,160713000.0,1371840.0
2017-10-16,3.43,164118000.0,5613960.0
2017-10-17,3.05,189382000.0,6084920.0
2017-10-18,2.96,168367000.0,4956180.0
2017-10-19,2.98,161803000.0,3695910.0
2017-10-20,2.76,162640000.0,4634470.0
2017-10-21,2.53,150237000.0,5154440.0
2017-10-22,3.47,117315000.0,5401130.0
2017-10-23,3.07,166425000.0,13532400.0
2017-10-24,3.05,143132000.0,6991420.0
2017-10-25,3.29,142405000.0,6644420.0
2017-10-26,3.04,152880000.0,5668710.0
2017-10-27,2.92,142242000.0,3240800.0
2017-10-28,2.85,137541000.0,3545970.0
2017-10-29,2.97,133098000.0,3768150.0
2017-10-30,2.71,138111000.0,3316740.0
2017-10-31,2.65,125514000.0,4393950.0
2017-11-01,2.25,124172000.0,4220950.0
2017-11-02,2.3,105729000.0,4052270.0
2017-11-03,2.58,107618000.0,4608760.0
2017-11-04,2.34,120223000.0,3843900.0
2017-11-05,2.6,110083000.0,3216540.0
2017-11-06,2.84,121071000.0,6400980.0
2017-11-07,3.14,130316000.0,6463600.0
2017-11-08,3.67,146252000.0,10930800.0
2017-11-09,4.19,171178000.0,10186400.0
2017-11-10,3.81,193321000.0,6291400.0
2017-11-11,3.89,176728000.0,6157120.0
2017-11-12,3.42,181196000.0,5216980.0
2017-11-13,3.95,161456000.0,4445720.0
2017-11-14,3.87,194348000.0,4635890.0
2017-11-15,3.84,190015000.0,4302840.0
2017-11-16,3.59,187189000.0,5030580.0
2017-11-17,3.37,173996000.0,4069920.0
2017-11-18,3.95,164922000.0,4922050.0
2017-11-19,3.57,192781000.0,7020010.0
2017-11-20,3.74,177773000.0,5253100.0
2017-11-21,3.66,183684000.0,4021460.0
2017-11-22,3.67,180485000.0,4335110.0
2017-11-23,3.62,179844000.0,5002100.0
2017-11-24,3.65,176742000.0,4521800.0
2017-11-25,3.92,178604000.0,4452600.0
2017-11-26,4.37,191937000.0,6857590.0
2017-11-27,4.35,215699000.0,6660970.0
2017-11-28,4.23,213329000.0,6433560.0
2017-11-29,3.55,208328000.0,7243310.0
2017-11-30,4.37,179775000.0,8971200.0
2017-12-01,4.58,217661000.0,7879480.0
2017-12-02,5.18,233160000.0,16700600.0
2017-12-03,5.56,257036000.0,12708800.0
2017-12-04,6.71,283357000.0,19911800.0
2017-12-05,6.39,338931000.0,13171800.0
2017-12-06,7.48,323762000.0,35772100.0
2017-12-07,7.04,376578000.0,31185000.0
2017-12-08,7.75,356246000.0,20075900.0
2017-12-09,8.07,392636000.0,19052200.0
2017-12-10,7.28,408553000.0,14546100.0
2017-12-11,7.36,367340000.0,15579400.0
2017-12-12,7.68,373749000.0,20261300.0
2017-12-13,7.65,391145000.0,16650600.0
2017-12-14,9.45,389285000.0,24991300.0
2017-12-15,9.06,478509000.0,25707100.0
2017-12-16,10.17,459718000.0,23375500.0
2017-12-17,9.96,519983000.0,17546300.0
2017-12-18,11.16,506984000.0,32649100.0
2017-12-19,10.11,569346000.0,36828800.0
2017-12-20,9.08,526042000.0,27937400.0
2017-12-21,11.28,470384000.0,33123300.0
2017-12-22,8.76,579611000.0,27288000.0
2017-12-23,10.02,460273000.0,17854100.0
2017-12-24,9.95,543720000.0,13424700.0
2017-12-25,11.87,541472000.0,34627100.0
2017-12-26,12.75,640325000.0,32470100.0
2017-12-27,15.02,678343000.0,42588800.0
2017-12-28,16.36,862960000.0,130469000.0
2017-12-29,14.33,905906000.0,66210600.0
2017-12-30,12.39,779372000.0,40654100.0
2017-12-31,12.81,661143000.0,33189700.0
2018-01-01,12.41,697227000.0,35137200.0
2018-01-02,11.94,673909000.0,45439100.0
2018-01-03,11.53,651912000.0,44618100.0
2018-01-04,12.92,635369000.0,59457600.0
2018-01-05,11.06,705070000.0,43428800.0
2018-01-06,12.53,601296000.0,41980300.0
2018-01-07,13.13,686038000.0,45933200.0
2018-01-08,14.64,718074000.0,85218400.0
2018-01-09,14.54,787175000.0,52787400.0
2018-01-10,13.14,792632000.0,35351900.0
2018-01-11,11.43,709930000.0,26521200.0
2018-01-12,12.2,625728000.0,21515000.0
2018-01-13,11.73,660935000.0,22171100.0
2018-01-14,11.33,635399000.0,19307300.0
2018-01-15,10.34,609834000.0,20113900.0
2018-01-16,8.3,558690000.0,20321200.0
2018-01-17,8.44,579313000.0,17122300.0
2018-01-18,8.23,608296000.0,16360400.0
2018-01-19,7.91,581109000.0,20608700.0
2018-01-20,9.83,567825000.0,19744600.0
2018-01-21,8.14,706370000.0,10749100.0
