date,price,mrkcap,volume
2015-08-26,4.1e-05,0.0,25580.0
2015-08-27,4.3e-05,0.0,9605.0
2015-08-28,3.9e-05,0.0,6165.0
2015-08-29,3.4e-05,0.0,2025.0
2015-08-30,3.2e-05,0.0,5895.0
2015-08-31,3e-05,148857.0,2249.0
2015-09-01,3e-05,139925.0,1436.0
2015-09-02,2.8e-05,139185.0,2005.0
2015-09-03,2.5e-05,129600.0,2991.0
2015-09-04,2.5e-05,118326.0,391.0
2015-09-05,2.4e-05,119699.0,1154.0
2015-09-06,2.9e-05,111178.0,1481.0
2015-09-07,4.3e-05,136381.0,12820.0
2015-09-08,7.8e-05,204643.0,95139.0
2015-09-09,4.8e-05,370239.0,18387.0
2015-09-10,4.8e-05,131665.0,13512.0
2015-09-11,4.3e-05,131661.0,6597.0
2015-09-12,3.3e-05,119379.0,4877.0
2015-09-13,3.5e-05,90969.0,1774.0
2015-09-14,3.5e-05,95547.0,2568.0
2015-09-15,3.5e-05,167032.0,4489.0
2015-09-16,3e-05,169215.0,1854.0
2015-09-17,3e-05,148864.0,4337.0
2015-09-18,3e-05,153317.0,1044.0
2015-09-19,2.8e-05,157566.0,2034.0
2015-09-20,2.8e-05,145774.0,2797.0
2015-09-21,3e-05,145956.0,2589.0
2015-09-22,3.2e-05,155501.0,1087.0
2015-09-23,3.2e-05,170617.0,2988.0
2015-09-24,3.3e-05,170345.0,1400.0
2015-09-25,3.1e-05,173518.0,619.0
2015-09-26,3.3e-05,161873.0,417.0
2015-09-27,3e-05,174232.0,454.0
2015-09-28,2.9e-05,160996.0,1051.0
2015-09-29,2.8e-05,152952.0,1290.0
2015-09-30,2.8e-05,151576.0,2762.0
2015-10-01,2.9e-05,151392.0,615.0
2015-10-02,2.8e-05,152392.0,639.0
2015-10-03,2.6e-05,152497.0,231.0
2015-10-04,2.9e-05,140690.0,291.0
2015-10-05,2.9e-05,153354.0,1177.0
2015-10-06,2.7e-05,154968.0,1968.0
2015-10-07,2.7e-05,146725.0,5158.0
2015-10-08,3.1e-05,146962.0,16285.0
2015-10-09,3.2e-05,178833.0,2332.0
2015-10-10,2.9e-05,182422.0,2193.0
2015-10-11,3.5e-05,170595.0,5577.0
2015-10-12,3.7e-05,201014.0,2045.0
2015-10-13,4e-05,214138.0,5072.0
2015-10-14,3.5e-05,232692.0,2738.0
2015-10-15,3.8e-05,206154.0,4216.0
2015-10-16,4.5e-05,223085.0,6601.0
2015-10-17,4.3e-05,261719.0,2195.0
2015-10-18,5e-05,254617.0,10571.0
2015-10-19,5e-05,292957.0,6603.0
2015-10-20,4e-05,295474.0,5017.0
2015-10-21,4.5e-05,239495.0,3715.0
2015-10-22,4.1e-05,270394.0,4443.0
