date,price,mrkcap,volume
2017-12-28,0.722908,0.0,807338.0
2017-12-29,0.67676,0.0,970610.0
2017-12-30,0.845823,0.0,2463710.0
2017-12-31,1.0,0.0,1822440.0
2018-01-01,0.930881,0.0,860856.0
2018-01-02,1.07,0.0,3032790.0
2018-01-03,1.2,105770000.0,2516980.0
2018-01-04,1.22,119080000.0,1963360.0
2018-01-05,1.36,120569000.0,3755230.0
2018-01-06,1.6,135098000.0,2146630.0
2018-01-07,1.6,158159000.0,2199950.0
2018-01-08,2.12,158608000.0,6012950.0
2018-01-09,2.33,209508000.0,10702000.0
2018-01-10,2.22,232379000.0,6472780.0
2018-01-11,1.9,218727000.0,5189330.0
2018-01-12,2.01,189658000.0,8366370.0
2018-01-13,1.83,199229000.0,10567000.0
2018-01-14,1.74,181864000.0,10549400.0
2018-01-15,1.94,170701000.0,10366900.0
2018-01-16,1.56,191965000.0,9758750.0
2018-01-17,1.59,153730000.0,7401500.0
2018-01-18,1.58,158530000.0,11912700.0
2018-01-19,1.62,155767000.0,8227090.0
2018-01-20,1.89,161642000.0,12286500.0
2018-01-21,2.46,187339000.0,14525400.0
